geoid,name,state,pop,historicalPersistenceScore,outlook,historicalWinnerIndex,mechanismScore,mechanismRealLogGrowth,historicalRelativeGrowth,structuralScore,valuationGap,modelDisagreement,zhvi2025,medianValue,housingMarketEligible,confidence,confidenceReasons,engines,human,access,regen,gateway,amenity,scarcity,health,distress,tags,positives,negatives
2857160,Picayune city,MS,11839,0.103,0.103,0.2753,-0.749,-0.509,-0.028,-0.814,-1.442,0.852,191798,146500,1,high,,-0.31,-0.4,0.01,0.04,-0.55,-0.25,0.01,-0.32,1.33,,,distress vacancy
1332048,Garden City city,GA,10375,1.154,1.154,0.4875,0.104,0.017,0.04,-0.343,-1.432,1.05,270164,160700,1,high,,-0.33,-0.28,-0.22,0.07,0.75,-0.3,0.05,-1,-0.27,,,
4115250,Coos Bay city,OR,15867,0.503,0.503,0.3562,-0.486,-0.346,-0.008,-0.459,-1.42,0.989,335883,272100,1,high,,0.05,-0.15,-1.23,-0.03,-0.2,0.05,0.48,0.08,-0.38,,,market access
3819620,Dickinson city,ND,25216,-0.766,-0.766,0.0999,0.565,0.301,-0.073,-1.279,-1.418,1.332,310712,252400,1,high,,-0.17,-0.18,-2.08,0.36,-0.21,-0.25,-0.7,-0.29,0.42,,,market access
0828745,Fruita city,CO,13578,-0.384,-0.384,0.177,0.104,0.017,-0.066,-0.436,-1.402,0.488,473103,361500,1,high,,-0.1,-0.01,-1.2,0.11,-0.63,0.1,0.16,0.12,-0.87,,,market access
1664810,Post Falls city,ID,41716,-0.379,-0.379,0.1781,0.076,0,-0.034,-0.097,-1.389,0.455,524914,425100,1,high,,-0.08,-0.06,-0.31,0.3,-0.52,-0.05,-0.56,0.34,-0.72,,,
4669300,Watertown city,SD,22859,-0.417,-0.417,0.1704,0.301,0.138,-0.036,-0.872,-1.387,0.718,305184,212300,1,high,,-0.08,-0.36,-1.59,0.08,-0.57,-0.08,0,-0.08,-0.65,,,market access
0864255,Rifle city,CO,10466,1.18,1.18,0.4928,0.313,0.146,0.004,-0.457,-1.374,0.867,479053,377900,1,high,,-0.2,-0.38,-1.39,0.36,0.86,-0.16,0.32,-0.36,-0.88,,,market access
0815165,Clifton CDP,CO,19746,0.346,0.346,0.3245,0.161,0.052,0.002,-0.395,-1.368,0.185,331685,234200,1,high,,-0.03,-0.65,-1.11,0.25,0.22,-0.31,0.84,0.34,-0.84,,,market access; human capital
4161200,Redmond city,OR,35161,-0.386,-0.386,0.1768,0.094,0.011,-0.049,-0.254,-1.356,0.48,519749,435000,1,high,,-0.16,0.01,-1.05,0.25,-0.02,-0.19,-0.19,0.45,-0.96,,,market access
3268550,Spring Creek CDP,NV,14967,-0.686,-0.686,0.1161,0.62,0.335,-0.073,-1.301,-1.352,1.306,403324,318200,1,high,,-0.3,-0.29,-2.09,0.19,-0.38,-0.35,-1.05,-0.42,-0.72,,,market access
1682810,Twin Falls city,ID,53219,-0.208,-0.208,0.2126,0.205,0.079,-0.027,-0.422,-1.349,0.414,362725,279400,1,high,,0,-0.22,-1.33,0.34,0.12,-0.17,0.43,0,-0.56,,,market access
