geoid,name,state,pop,outlook,simGrowth,fittedProb,fittedGrowth,valuationGap,zhvi2025,medianValue,engines,human,access,regen,gateway,amenity,scarcity,distress,tags,positives,negatives,lowConfidence
0169120,Selma city,AL,17442,-1.053,-1.204,0.335,-0.017,-0.119,76225,102500,0.11,-0.24,-0.66,-0.06,-0.39,-0.33,-0.19,1.11,,,"market access (population within 60-120min); amenity capital (seasonal homes, arts, prestige); distress vacancy",0
3646019,Massena village,NY,10234,-1.051,-1.104,0.25,-0.034,-0.159,118002,99200,0.08,-0.17,-1.5,-0.26,-0.17,-0.18,0.02,-0.02,,,market access (population within 60-120min),0
4643100,Mitchell city,SD,15637,-1.049,-1.083,0.217,-0.037,-1.379,250344,182000,0.12,-0.17,-1.52,0.09,-0.52,-0.22,-0.09,0.07,,,market access (population within 60-120min),0
3678674,Watervliet city,NY,10285,-1.048,-1.285,0.258,-0.003,-1.809,307467,176200,0.24,-0.24,0.14,-0.01,-0.09,-0.37,0.47,0.38,,,"amenity capital (seasonal homes, arts, prestige)",0
3766700,Tarboro town,NC,10705,-1.04,-1.022,0.182,-0.046,-0.76,161933,155500,0.03,-0.2,-0.11,-0.18,-0.31,-0.38,-0.12,0.31,,,"amenity capital (seasonal homes, arts, prestige)",0
2218650,Crowley city,LA,11554,-1.035,-1.197,0.282,-0.016,-1.298,119455,141800,-0.12,-0.2,-0.33,-0.17,-0.62,-0.15,-0.02,0.93,,,distress vacancy,0
2421325,Cumberland city,MD,18938,-1.028,-1.123,0.244,-0.027,-0.696,152705,120800,0.15,-0.04,-0.46,0.04,-0.5,-0.19,0,1.21,,,distress vacancy,0
2850440,Natchez city,MS,14207,-1.026,-1.097,0.28,-0.031,-0.94,128606,114100,0.16,-0.09,-1.19,0.01,-0.65,-0.06,-0.22,1.52,,,distress vacancy; market access (population within 60-120min),0
0851745,Montrose city,CO,20703,-1.024,-0.897,0.206,-0.064,-2.356,461640,359000,-0.29,0.2,-1.48,-0.12,-0.03,-0.1,0.15,-0.19,,,market access (population within 60-120min),0
5549675,Marshfield city,WI,18718,-1.021,-0.957,0.101,-0.054,-1.192,243114,169900,0.03,-0.19,-0.63,-0.09,-0.43,-0.29,-0.07,-0.26,,,"market access (population within 60-120min); amenity capital (seasonal homes, arts, prestige)",0
2720330,Fairmont city,MN,10348,-1.019,-0.954,0.134,-0.054,-0.49,171556,168800,-0.24,-0.22,-0.96,-0.3,-0.34,-0.28,-0.21,-0.33,,,"amenity capital (seasonal homes, arts, prestige); market access (population within 60-120min)",0
1380956,Waycross city,GA,13813,-1.017,-1.091,0.315,-0.03,-1.093,146260,88600,-0.03,-0.49,-0.7,0.21,-0.47,-0.3,-0.23,2.13,,,"amenity capital (seasonal homes, arts, prestige); market access (population within 60-120min); distress vacancy",0
2200100,Abbeville city,LA,11086,-0.996,-1.178,0.167,-0.012,-1.079,137366,99900,0.01,-0.71,-0.35,0.18,-0.1,-0.38,-0.3,1.51,,,"amenity capital (seasonal homes, arts, prestige); human capital (degrees, professional employment); distress vacancy",0
4210464,Butler city,PA,13306,-0.983,-1.144,0.13,-0.015,-1.857,242524,112500,-0.17,-0.37,0.48,-0.14,-0.53,-0.19,0.23,0.98,,,distress vacancy,0
3602066,Amsterdam city,NY,18162,-0.98,-0.955,0.153,-0.047,-1.442,237940,119800,0.27,-0.4,-0.1,0.02,-0.2,-0.36,0.14,1.22,,,"amenity capital (seasonal homes, arts, prestige); distress vacancy",0
5161832,Petersburg city,VA,33365,-0.971,-0.988,0.168,-0.04,-1.481,246307,157900,0.31,-0.04,0.19,0.08,-0.29,-0.26,-0.1,1.14,,,distress vacancy,0
2728790,Hibbing city,MN,16100,-0.97,-0.998,0.197,-0.038,-0.345,153159,123900,0.12,-0.46,-1.39,-0.13,-0.46,-0.27,-0.8,-0.1,,,"scarcity capital (price/income, density, slow building); amenity capital (seasonal homes, arts, prestige); market access (population within 60-120min)",0
1747553,Mattoon city,IL,16334,-0.967,-1.106,0.154,-0.019,-0.205,122069,96000,-0.14,-0.23,-0.47,-0.03,-0.6,-0.38,-0.11,0.24,,,"amenity capital (seasonal homes, arts, prestige)",0
