code2020,bachelorShare,collegeEnrollShare,students18_24,taxableIncomePerTaxpayerThousandYen,otherVacancyShare
05201,0.14167,,18910,2882.82,0.04229
05202,0.08278,,2142,2478.01,0.07754
05203,0.07586,,3594,2441.66,0.05485
05204,0.07846,,3209,2402.41,0.08072
05206,0.05283,,1285,2311.77,0.09712
05207,0.06779,,1957,2343.67,0.07645
05209,0.06331,,1337,2271.53,0.09091
05210,0.07453,,4169,2494.06,0.05388
05211,0.06598,,1772,2381.96,0.04823
05212,0.07235,,3557,2515.16,0.05901
05213,0.06819,,1279,2312.7,0.08699
05214,0.07092,,1097,2578.48,0.06818
05215,0.05545,,999,2275.08,0.05981
05303,0.06221,,221,2260.44,
05327,0.03508,,68,2170.78,
05346,0.04086,,118,2083.96,
05348,0.0486,,766,2210.31,
05349,0.04099,,285,2218.59,
05361,0.06535,,396,2347.2,
05363,0.07147,,287,2468.98,
05366,0.05345,,247,2434.36,
05368,0.15196,,341,3637.76,
05434,0.05312,,872,2258.81,
05463,0.04975,,642,2270.01,
05464,0.02763,,77,2012.79,
06201,0.17142,,16498,2928.27,0.03678
06202,0.1006,,6185,2498.97,0.0434
06203,0.09003,,6652,2432.03,0.05587
06204,0.10033,,4768,2476.75,0.0694
06205,0.09973,,1745,2532.07,0.04082
06206,0.10934,,2039,2560.49,0.03458
06207,0.08938,,1593,2405.15,0.07571
06208,0.08918,,1178,2429.08,0.04306
06209,0.08766,,1259,2476.5,0.04885
06210,0.11102,,2942,2603.26,0.03309
06211,0.09672,,1980,2576.1,0.02847
06212,0.0559,,746,2343.39,0.06436
06213,0.08299,,1512,2474.96,0.05698
06301,0.08006,,830,2479.28,
06302,0.08463,,608,2454.17,
06321,0.10401,,863,2478.06,
06322,0.06276,,248,2291.85,
06323,0.05388,,327,2280.44,
06324,0.06996,,441,2292.04,
06341,0.06999,,341,2380.27,
06361,0.04767,,267,2192.68,
06362,0.04706,,380,2226.71,
06363,0.05005,,233,2298.45,
06364,0.05292,,482,2260.52,
06365,0.0374,,160,2161.26,
06366,0.04443,,172,2252.41,
06367,0.02982,,217,2224.99,
06381,0.06397,,1077,2362.12,
06382,0.05868,,666,2296.02,
06401,0.06949,,385,2248.91,
06402,0.06693,,663,2300.63,
06403,0.0482,,292,2256.8,
06426,0.07125,,311,2340.93,
06428,0.05957,,959,2238.25,
06461,0.05406,,565,2209.81,
07201,0.14201,,16631,2915.21,0.04475
07202,0.1027,,6661,2651.74,0.05147
07203,0.13022,,19075,2904.96,0.02674
07204,0.10456,,16515,2718.45,0.05246
07205,0.1059,,2980,2746.99,0.0718
07207,0.09484,,3962,2543.57,0.03193
07208,0.07276,,2298,2411.13,0.07139
07209,0.09292,,1752,2577.92,0.0652
07210,0.07262,,2959,2422.98,0.04679
07211,0.04897,,2110,2343.73,0.06948
07212,0.08413,,2861,2525.54,0.04671
07213,0.06993,,3312,2458.14,0.05845
07214,0.08002,,1647,2467.49,0.04195
07301,0.07573,,654,2406.06,
07303,0.06529,,487,2445.47,
07308,0.05061,,617,2208.31,
07322,0.04849,,445,2318.82,
07342,0.07889,,652,2477.93,
07344,0.05049,,293,2280.33,
07362,0.04776,,274,2360.26,
07364,0.10565,,6,2408.48,
07367,0.06671,,173,2388.81,
07368,0.07522,,673,2395.1,
07402,0.07367,,119,2166.71,
07405,0.05192,,281,2287.58,
07407,0.06573,,159,2569.85,
07408,0.08087,,746,2468.76,
07421,0.07753,,761,2485.74,
07422,0.08429,,162,2647.17,
07423,0.04297,,174,2288.23,
07444,0.06236,,58,2272.72,
07445,0.05709,,66,2198.79,
07446,0.05664,,15,2160.36,
07447,0.06962,,984,2373.1,
07461,0.10108,,920,2576.07,
07464,0.06783,,350,2476.46,
07465,0.05855,,277,2377.09,
07466,0.08867,,890,2393.76,
07481,0.07304,,698,2575.28,
07482,0.04645,,248,2325.48,
07483,0.04901,,405,2440.77,
07484,0.03691,,192,2370.4,
07501,0.0724,,1058,2364.01,
07502,0.0478,,355,2276.54,
07503,0.0335,,307,2227.76,
07504,0.05701,,327,2470.64,
07505,0.04101,,261,2266.14,
07521,0.07754,,991,2440.19,
07522,0.0536,,575,2311.35,
07541,0.08669,,303,3019.77,
07542,0.07616,,399,2709.53,
07543,0.11285,,778,3085.35,
07544,0.04949,,89,2513.05,
07545,0.10001,,467,3556.99,
07546,0.10858,,276,3158.97,
07547,0.08048,,847,2674.87,
07548,0.04063,,76,2153.21,
07561,0.06737,,386,2460.15,
07564,0.03231,,229,2128.27,
08201,0.18911,,15290,3266.95,0.04575
08202,0.14793,,10387,3138.22,0.04287
08203,0.18687,,7701,3191.57,0.04041
08204,0.11521,,7866,2842.24,0.04383
08205,0.11786,,4204,2821.49,0.05537
08207,0.09931,,2525,2736.74,0.03773
08208,0.20218,,6035,3232.85,0.04986
08210,0.09877,,2180,2648.43,0.05322
08211,0.09261,,3196,2700.64,0.03536
