year,region,gross_index,net_index
2074,seasia,1.133434,1.144016
2074,russia,0.846393,0.824696
2074,mena,1.985588,1.999736
2074,ssa,3.419284,3.618994
2074,world,1.227705,1.202176
2075,us,1.461634,1.406312
2075,oecd-ex-us,1.377889,1.346657
2075,china,0.589394,0.541410
2075,india,1.439161,1.432215
2075,latam,1.015681,1.009532
2075,seasia,1.130123,1.137030
2075,russia,0.842370,0.819448
2075,mena,1.988099,1.996886
2075,ssa,3.447177,3.636387
2075,world,1.227328,1.200114
2076,us,1.463375,1.407768
2076,oecd-ex-us,1.381878,1.349210
2076,china,0.582900,0.534550
2076,india,1.433130,1.422752
2076,latam,1.010536,1.002677
2076,seasia,1.126365,1.129896
2076,russia,0.838216,0.814160
2076,mena,1.989965,1.993839
2076,ssa,3.473625,3.653065
2076,world,1.226725,1.197979
2077,us,1.465088,1.409193
2077,oecd-ex-us,1.385691,1.351655
2077,china,0.576356,0.527741
2077,india,1.426616,1.413258
2077,latam,1.005203,0.995773
2077,seasia,1.122197,1.122632
2077,russia,0.833942,0.808855
2077,mena,1.991247,1.990626
2077,ssa,3.498674,3.669068
2077,world,1.225913,1.195782
2078,us,1.466772,1.410586
2078,oecd-ex-us,1.389339,1.353997
2078,china,0.569778,0.520987
2078,india,1.419692,1.403743
2078,latam,0.999702,0.988827
2078,seasia,1.117660,1.115259
2078,russia,0.829558,0.803515
2078,mena,1.991999,1.987241
2078,ssa,3.522397,3.684427
2078,world,1.224915,1.193525
2079,us,1.468427,1.411947
2079,oecd-ex-us,1.392829,1.356240
2079,china,0.563179,0.514296
2079,india,1.412421,1.394216
2079,latam,0.994052,0.981853
2079,seasia,1.112789,1.107791
2079,russia,0.825075,0.798147
2079,mena,1.992272,1.983696
2079,ssa,3.544886,3.699170
2079,world,1.223747,1.191217
2080,us,1.470053,1.413275
2080,oecd-ex-us,1.396168,1.358387
2080,china,0.556571,0.507675
2080,india,1.404863,1.384683
2080,latam,0.988271,0.974853
2080,seasia,1.107617,1.100236
2080,russia,0.820502,0.792754
2080,mena,1.992112,1.980018
2080,ssa,3.566240,3.713318
2080,world,1.222429,1.188862
2081,us,1.471650,1.414572
2081,oecd-ex-us,1.399364,1.360442
2081,china,0.549965,0.501132
2081,india,1.397065,1.375154
2081,latam,0.982373,0.967830
2081,seasia,1.102175,1.092607
