region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
us,2082,34376799203867.04,150310338.5442361,35453712.99024678,1270880124071.4253,1692379610083.687,186681795590.1524,453603562597.7913,0.0,6195875388.71899,1436082377438.0361,442979028235.80396,143875.8716501817,-165202253366.61084,-154577719004.62347
oecd-ex-us,2082,30652774947561.086,209953749.9059106,35027636.10175016,1130703807364.694,1520337011165.342,165012388471.42084,280127100756.21814,0.0,4654877734.77663,1395025588392.561,290323811244.20233,121280.09814233045,-264321781027.86694,-274518491515.85114
china,2082,10978120718363.488,173709347.6737441,0.0,327903893116.2879,607063391210.6702,65936225063.42592,0.0,4174633359.869887,3025778670.1658998,672999616274.0961,0.0,96161.62963895967,-345095723157.80817,-349270356517.67804
india,2082,17199648874791.254,741904735.8347793,0.0,938177406629.15,930466964424.7535,208144157008.72287,0.0,32041232905.922764,6181353710.755546,1138611121433.4763,0.0,60841.504159923,-200433714804.3263,-232474947710.24905
latam,2082,8412827648021.582,192999024.1840364,0.0,351355141765.26166,435730030547.5128,62109190723.64046,0.0,7872255303.933159,117094395611.11414,497839221271.15326,0.0,77690.34884051859,-146484079505.8916,-154356334809.82477
seasia,2082,9899632124657.514,250000735.69904137,0.0,425130250513.5745,515889569087.6173,71723169739.00569,0.0,4139644668.2558126,3918485915.7294364,587612738826.623,0.0,74268.94031698917,-162482488313.04852,-166622132981.30432
russia,2082,8592556537283.257,113967265.65671968,6805607.1044606315,349322147842.6486,413281210438.5457,49391194910.70286,25290768675.011257,0.0,120571889800.03609,435191570408.2884,27480834940.960182,90346.67235519736,-85869422565.63977,-88059488831.58868
mena,2082,16202819732403.059,258771793.5938466,0.0,957263711654.7156,900093341386.0739,225916525860.32367,0.0,11871364909.676685,3960916317.2711563,1126009867246.3975,0.0,90719.61425245351,-168746155591.6819,-180617520501.35858
ssa,2082,16509169638315.666,1372751947.8122404,0.0,841780569769.2479,769633895987.6356,112484648735.17253,0.0,10924574113.496798,11262096106.338783,882118544722.8081,0.0,42974.15902995914,-40337974953.56018,-51262549067.05698
us,2083,34232668520918.242,149416518.26476967,35518880.88034259,1266987065833.472,1685406322176.9705,185646114231.4466,454455856682.28314,0.0,5478830943.844282,1427379544779.655,443672891628.763,146047.79086432143,-160392478946.1831,-149609513892.66296
oecd-ex-us,2083,30395337914440.082,207542345.4551137,34966810.16952435,1124551940207.3726,1507693438404.0906,163389034511.71393,284363473696.15607,0.0,4730025891.2485075,1381430597916.9673,289651874998.8361,123426.82019996938,-256878657709.59473,-262167059012.27478
china,2083,10645101167029.996,166969385.45448565,0.0,322568721563.0817,589640268966.5177,64117485396.75247,0.0,4480254845.494235,2649736312.194137,653757754363.2701,0.0,98205.00709835174,-331189032800.1884,-335669287645.6827
india,2083,16973388877090.932,731831506.4502282,0.0,924619815398.8312,919054409051.2305,204901259757.12567,0.0,32939090960.589344,6014946669.796097,1123955668808.3562,0.0,62562.45568500258,-199335853409.52502,-232274944370.11438
latam,2083,8263569435818.5,189276625.18702775,0.0,345153886821.8048,428262695243.366,60910689348.35846,0.0,7615668833.086577,2376954399.926031,489173384591.7245,0.0,79595.48059794241,-144019497769.91968,-151635166603.00626
seasia,2083,9739931620940.775,245795399.7821279,0.0,418594295008.40326,507923224879.7252,70477504124.81133,0.0,3764554965.9521914,3870485245.3507447,578400729004.5365,0.0,76141.59373687058,-159806433996.13324,-163570988962.08542
russia,2083,8511387082514.6875,112778760.44559205,6810552.933672972,346544916075.6848,409702141990.8624,48887162966.9945,28231235477.006256,0.0,2643698636.592546,431210477659.22455,27378827298.63232,92352.85436398468,-84665561583.53973,-83813153405.1658
mena,2083,16024568192964.693,256168019.19308046,0.0,946632265078.4514,891275604425.372,223175234390.80032,0.0,14259446107.771538,3826480407.1261606,1114450838816.1724,0.0,92728.34761969531,-167818573737.72095,-182078019845.4925
ssa,2083,16464951047257.44,1371314999.143025,0.0,835436278912.76,768666653522.1572,112014318003.18916,0.0,10511426255.292244,11537527809.654072,880680971525.3464,0.0,44420.773819246286,-45244692612.586426,-55756118867.87867
us,2084,34089851530048.387,148555219.61954433,35581221.72714266,1263154726661.0227,1678627093656.2825,184626542336.00922,450924233343.4539,0.0,6357685117.975923,1418947497236.5657,444306138755.72644,148252.28705638958,-155792770575.54297,-149174675987.8155
oecd-ex-us,2084,30139192037252.383,205221636.119308,34889102.24493552,1118838245055.7175,1495601648489.6458,161823893784.93854,277820367168.1333,0.0,4621052863.040172,1368417347875.6582,289008194398.92664,125606.53406284652,-249579102819.94067,-260766930050.734
china,2084,10322846396235.307,160621890.14028224,0.0,317210889586.90686,573270367837.5144,62363326539.28671,0.0,6499512790.3787565,2667546785.5865006,635633694376.8011,0.0,100282.57141294116,-318422804789.8943,-324922317580.2731
india,2084,16751679266838.346,721955158.6599352,0.0,911177320739.8635,907611501937.8414,201708555398.01337,0.0,29305009977.338383,5738136320.737171,1109320057335.8547,0.0,64319.53780678687,-198142736595.9912,-227447746573.3296
latam,2084,8116619453989.465,185631150.7652659,0.0,339099079779.927,420941291311.59125,59741051631.35136,0.0,7702010155.483922,2335291489.4655633,480682342942.9426,0.0,81535.9090948599,-141583263163.01562,-149285273318.49954
seasia,2084,9709131918670.95,241680938.37253454,0.0,412092255792.38275,500213986960.49146,70748646247.3979,0.0,3789058435.6487403,131859733581.32428,570962633207.8894,0.0,78049.74131886438,-158870377415.50665,-162659435851.1554
russia,2084,8429707931896.568,111615361.26108257,6800399.850610924,343745824002.1026,406317031112.81903,48404245477.890396,26668245993.232353,0.0,2628055977.253884,427321548339.11597,27399728251.593338,94393.56803016318,-83575724337.01337,-84307206595.37436
mena,2084,15848984664121.398,253607517.89492124,0.0,936055178417.1599,882251175130.3112,220457920813.55054,0.0,12588882856.20269,3659271539.604064,1102709095943.8618,0.0,94771.59016103219,-166653917526.7019,-179242800382.9046
ssa,2084,16414512206436.436,1378038415.2870708,0.0,828984484052.3539,767484626972.8192,111523063497.37363,0.0,11407359991.752821,10991725588.593658,879007690470.1929,0.0,45903.53827694531,-50023206417.83899,-61430566409.59181
us,2085,33929207615544.406,147675660.72272807,35589439.23152475,1259037780191.252,1672083563585.698,183656095261.18488,429817895886.9896,0.0,6240068264.65356,1410772547873.252,444967110973.63104,150489.84886193747,-151734767682.0,-166883982768.64142
oecd-ex-us,2085,29884198873006.586,202979914.58749488,34783299.19545316,1113259295014.8042,1483777475744.2893,160306853062.2916,271572204939.90686,0.0,4259664606.0687804,1355914158261.541,288170170545.04016,127819.72350010162,-242654863246.73682,-259252828851.87012
china,2085,10013215009201.377,154702668.14251065,0.0,311725442978.37396,557656479731.6395,60646544890.35476,0.0,5734212684.853695,2680407294.539504,618303024621.9943,0.0,102394.80063249002,-306577581643.6203,-312311794328.474
india,2085,16528810989436.418,712088728.9664345,0.0,897786750372.0052,896320474991.3074,198610800869.91055,0.0,31113845791.70726,5390093878.987577,1094931275861.2179,0.0,66113.26365059931,-197144525489.21265,-228258371280.91992
latam,2085,7971770363830.306,182066862.50210565,0.0,333164039542.85315,413735661283.7908,58598874998.47573,0.0,7819784798.610438,2141191378.8622508,472334536282.2665,0.0,83512.12011465497,-139170496739.41333,-146990281538.02377
seasia,2085,9552909385655.242,237658459.09602618,0.0,405586538790.9369,492489797190.0661,69531724747.25288,0.0,3710709812.2219424,3923159942.902864,562021521937.319,0.0,79993.87244844822,-156434983146.38208,-160145692958.60403
