region,year,pop,pop2564,entrants,gdppc,gdp,gross_cur,gross_con,net_cur,net_con,inv_cur,inv_con,tert_stock
oecd-ex-us,1960,587406806.0,283231668.0,9088829.2,8929.676718425006,5245352879782.594,13665511659634.074,62355932583398.69,3430621127497.905,15653975136352.172,481342771002.38586,2196374210179.7595,0.04083227765620415
oecd-ex-us,1965,617246163.0,297141290.99999994,9073020.4,11143.127776331,6878052863759.032,18206230020045.46,66573368644252.63,4810209301067.834,17589134966625.127,627772995764.6755,2295530871901.1914,0.047520259136422625
oecd-ex-us,1970,646443322.0,308127406.0,10597595.8,13970.021836435595,9030827324357.967,24300653474676.58,70877515509209.75,6759260264206.733,19714678648717.87,944683621745.7306,2755350925906.35,0.06165458665883924
oecd-ex-us,1975,674536939.9999999,325363256.0,10675339.4,16098.12834993465,10858782236892.166,30878669545076.754,78157527538565.61,9501952282179.404,24050553605635.516,1124721896825.681,2846802790387.593,0.0909975652542652
oecd-ex-us,1980,695515052.0,341142484.0,10916900.6,18394.63467112656,12793745289809.594,38508748016107.01,85301339397714.28,12529615624585.428,27754550588573.336,1343195073918.7375,2975332743348.51,0.11605097729958057
oecd-ex-us,1985,712021024.0000001,362537258.00000006,11279652.8,19908.88141360721,14175542130811.176,45680795585922.086,93491992916332.55,15286982361816.361,31286899195851.35,1540395530682.4956,3152630031848.672,0.1345614967552752
oecd-ex-us,1990,729715188.0000002,379696659.0,11355480.8,22798.02782307647,16636067158945.482,57199513014222.414,102231014396426.48,19656640122231.492,35131737202405.27,1839582220193.3562,3287831425929.0337,0.16456406939229887
oecd-ex-us,1995,743421245.9999999,395225135.0,11162676.4,24860.10206187158,18481528050523.74,67759090577531.945,111058621720516.06,24115778797780.03,39526285435217.64,1944488320746.3416,3187058607385.3906,0.19784502638064325
oecd-ex-us,2000,752522744.0000001,407617457.0,10357113.4,28704.49770333192,21600787376853.04,84029611485361.22,119280656887278.97,30706596931323.363,43588242144606.79,2121230176453.2327,3011101972077.297,0.23791290403835086
oecd-ex-us,2005,766731364.9999999,419023271.0,10036692.2,31944.59818713887,24492925372401.508,99741575596499.94,127223228643180.14,36882010363241.74,47044057698117.05,2283531390171.587,2912709513843.6284,0.2791952601185953
oecd-ex-us,2010,780863925.0000001,428070729.0,9621250.4,33964.40668866404,26521579917206.46,111576755413568.19,133855836966223.61,41578475459251.734,49880654906558.97,2431148652322.1216,2916588105109.1343,0.3230952487941045
oecd-ex-us,2015,792551996.0,428015287.99999994,9240156.4,35988.97426669519,28523133389061.91,118637284138756.25,134319586299602.42,43837798544874.13,49632583951820.54,2502285891701.469,2833055461582.963,0.3167117844417397
