region,year,gdppc,pop,gdp
oecd-ex-us,1908,4679.688085245823,309886.0,1450169821.984487
oecd-ex-us,1909,4756.993898489744,313027.0,1489067529.0625494
oecd-ex-us,1910,4453.536019807198,367795.0,1637988280.4049883
oecd-ex-us,1911,4818.90768981056,329846.0,1589497425.853254
oecd-ex-us,1912,4930.4608800658625,332748.0,1640600996.9201555
oecd-ex-us,1913,4714.650220674065,387994.0,1829255997.7202132
oecd-ex-us,1914,4694.290967039834,339222.0,1592406770.4211867
oecd-ex-us,1915,4696.260256181434,340619.0,1599635472.2002637
oecd-ex-us,1916,4876.823173099799,341491.0,1665391222.2050233
oecd-ex-us,1917,4747.572763746339,341761.0,1622535215.3107126
oecd-ex-us,1918,4578.2261615531625,341042.0,1561367406.5884137
oecd-ex-us,1919,4450.140800670488,337093.0,1500111312.9204168
oecd-ex-us,1920,4259.472856523603,389041.0,1657109579.574799
oecd-ex-us,1921,4397.584507603413,360769.0,1586512165.2235758
oecd-ex-us,1922,4790.736081562346,358840.0,1719107735.5078323
oecd-ex-us,1923,4751.4229910046615,362442.0,1722115251.7057116
oecd-ex-us,1924,4945.406573520749,379700.0,1877770875.9658284
oecd-ex-us,1925,5176.1003065484765,383270.0,1983843964.4908345
oecd-ex-us,1926,5185.802824442619,387035.0,2007087196.1581488
oecd-ex-us,1927,5375.675911686002,390469.0,2099034797.5601215
oecd-ex-us,1928,5558.67046598959,393919.0,2189665911.2921534
oecd-ex-us,1929,5524.865680082977,426033.0,2353775100.2827907
oecd-ex-us,1930,5347.920782879532,429056.0,2294557499.419161
oecd-ex-us,1931,5054.087052853712,433156.0,2189208131.4659023
oecd-ex-us,1932,4918.223302674166,436892.0,2148732415.1519217
oecd-ex-us,1933,5051.2055280868735,440559.0,2225354056.248425
oecd-ex-us,1934,5186.848935395598,444173.0,2303858252.181469
oecd-ex-us,1935,5334.723987990334,447993.0,2389919003.5517535
oecd-ex-us,1936,5466.55901048267,451452.0,2467888998.400422
oecd-ex-us,1937,5726.8383978216025,455081.0,2606175344.9190526
oecd-ex-us,1938,5878.004239140991,458480.0,2694947383.5613613
oecd-ex-us,1939,6395.141773353503,430662.0,2754144546.395966
oecd-ex-us,1940,6343.814580466837,432907.0,2746281738.586157
oecd-ex-us,1941,6443.705074220573,434325.0,2798662206.3608503
oecd-ex-us,1942,6404.818041983403,437268.0,2800621975.581999
oecd-ex-us,1943,6431.5406988071945,429560.0,2762732622.5796185
oecd-ex-us,1944,6404.8207977683405,415117.0,2658749995.1072
oecd-ex-us,1945,5550.674890828436,413355.0,2294399219.4983883
oecd-ex-us,1946,4995.776790614898,435866.0,2177489246.618153
oecd-ex-us,1947,5222.535344827809,440999.0,2303132864.533719
oecd-ex-us,1948,5416.946187619374,478379.0,2591353300.2871685
oecd-ex-us,1949,5716.271153621908,484245.0,2768075724.7856407
oecd-ex-us,1950,5993.797745300336,494419.478,2963450352.468969
oecd-ex-us,1951,6309.436109695756,499421.754,3151069648.655191
oecd-ex-us,1952,6404.418205872466,520063.408,3330703558.4032803
oecd-ex-us,1953,6693.044100239471,525106.6799999999,3514562166.5703354
oecd-ex-us,1954,6974.626398532795,530185.684,3697847067.7505665
oecd-ex-us,1955,7368.995004570725,535499.223,3946091099.2385044
oecd-ex-us,1956,7638.141608113414,540980.123,4132082786.6486125
oecd-ex-us,1957,7929.5142290359045,546472.108,4333258356.157246
oecd-ex-us,1958,8100.08816244281,552070.891,4471822889.018354
oecd-ex-us,1959,8449.50188357008,557938.635,4714303547.349019
oecd-ex-us,1960,8929.676718425006,563753.9500000001,5034140522.235135
oecd-ex-us,1961,9362.862780990934,569879.0009999999,5335698888.131194
oecd-ex-us,1962,9748.98027075697,576303.231,5618368828.992497
oecd-ex-us,1963,10176.131167439446,582493.042,5927525599.5128145
oecd-ex-us,1964,10754.743423171876,588625.7490000001,6330518902.76737
oecd-ex-us,1965,11143.127776331,594594.514,6625642644.607431
oecd-ex-us,1966,11609.279770144794,600194.474,6967825565.160896
oecd-ex-us,1967,12049.058228483611,605509.2829999999,7295816608.754361
oecd-ex-us,1968,12714.422808130617,610996.218,7768464249.820746
oecd-ex-us,1969,13452.891692204359,616765.608,8297280923.900571
oecd-ex-us,1970,13970.021836435595,632206.819,8831943066.573486
oecd-ex-us,1971,14416.920737817214,638156.8859999999,9200257243.754255
oecd-ex-us,1972,15058.485724032169,643824.409,9695020671.709948
oecd-ex-us,1973,15836.960634239515,656366.079,10394843754.773144
oecd-ex-us,1974,16055.703259408887,654564.755,10509497470.34768
oecd-ex-us,1975,16098.12834993465,659378.068,10614752769.795937
oecd-ex-us,1976,16688.036410457207,663622.139,11074550418.417494
oecd-ex-us,1977,17124.424792623755,667812.706,11435908459.455559
oecd-ex-us,1978,17656.331079703108,671805.598,11861622059.485933
oecd-ex-us,1979,18261.593440957375,675725.906,12339831772.894579
oecd-ex-us,1980,18394.63467112656,687234.545,12641428388.652887
oecd-ex-us,1981,18490.421118976665,691255.9,12781612691.977222
oecd-ex-us,1982,18623.203815078876,694708.025,12937689141.545912
oecd-ex-us,1983,18930.72270469501,697838.507,13210587268.675367
oecd-ex-us,1984,19453.253580163328,700799.392,13632828281.400284
oecd-ex-us,1985,19908.881413607214,708859.871,14112607110.603909
oecd-ex-us,1986,20437.546085625287,712006.724,14551670235.025084
oecd-ex-us,1987,21032.93501416902,715136.861,15041427123.649824
oecd-ex-us,1988,21896.304592403336,718228.523,15726550506.559965
oecd-ex-us,1989,22542.895561179612,722190.651,16280268420.753313
oecd-ex-us,1990,22798.02782307647,725983.664,16550995770.970999
oecd-ex-us,1991,23086.44044686042,729240.692,16835571807.285282
oecd-ex-us,1992,23293.875010780677,731998.741,17051087180.902819
oecd-ex-us,1993,23391.974887534714,734287.916,17176444491.2922
oecd-ex-us,1994,24080.43782642107,736424.405,17733422098.46163
oecd-ex-us,1995,24860.10206187158,738771.681,18365939390.080433
oecd-ex-us,1996,25539.514406598228,741013.92,18925135685.329826
oecd-ex-us,1997,26267.874154843485,743168.936,19521468086.636932
oecd-ex-us,1998,26779.24643549659,745137.922,19954232041.671837
oecd-ex-us,1999,27566.57830605766,747221.809,20598348509.79256
oecd-ex-us,2000,28704.497703331916,749615.455,21517335106.429607
