region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
mena,2028,5420910449625.212,237623537.87466073,419827.5715987916,673529403418.4595,285093610497.9065,79458423527.01158,459324082.94896805,0.0,1662983478.7215936,363265211718.2953,1286822306.6227958,22510.072830855686,310264191700.1642,309436693476.49036
ssa,2028,1690106647626.9543,513999374.0544561,0.0,274636767618.89194,70090222286.59705,10010530146.175446,0.0,3521332770.9378943,1294487316.2029676,80100752432.77249,0.0,4153.888135378867,194536015186.11945,191014682415.18155
us,2029,19086149955980.754,171400651.4481304,3774077.2297177645,844075790609.9258,962349682867.6261,106938270466.85503,177814545649.813,0.0,5367656062.2257185,1047364199358.605,21923753975.876186,64853.46001565609,-203288408748.6792,-47397617074.7424
oecd-ex-us,2029,23733989653690.78,387426511.0286184,5087325.642529353,957255192073.4495,1215288590672.7915,128506380480.7028,151472409342.7854,0.0,5104089405.953402,1324633150844.7026,19161820308.791637,44323.34507815357,-367377958771.2532,-235067369737.2594
china,2029,22823758407951.0,744989866.8142389,0.0,1020444405852.4851,1146420006400.9343,123523134697.06364,0.0,7823620635.064273,8907210139.95072,1269943141097.998,0.0,26429.915961202536,-249498735245.51294,-257322355880.5772
india,2029,6346290677270.717,804922509.6174788,0.0,733503351004.0249,319976251621.549,86826854076.1752,0.0,19255946327.63218,70967114794.31065,406803105697.72424,0.0,9532.379329332112,326700245306.30066,307444298978.66846
latam,2029,5264541184200.684,312581301.04755485,0.0,391597851387.5213,265706658910.1445,39530815423.66964,0.0,7709620238.433313,1913653425.0213332,305237474333.81415,0.0,16433.209741931896,86360377053.70715,78650756815.27383
seasia,2029,5313729854952.134,351051384.62470686,0.0,429751516810.4007,262406228963.22113,38371587589.96888,0.0,2149457094.546519,2073595491.2964404,300777816553.19,0.0,14864.373793171797,128973700257.2107,126824243162.66417
russia,2029,5179284023190.792,145369431.3047525,788946.8684586942,281695055968.84814,258923290594.34464,30269967674.161064,11776261458.293545,0.0,2279810142.1275096,287731566055.7988,1461692212.706837,23000.90659669084,-6036510086.950684,4278059158.6360245
mena,2029,5774838806291.437,240888687.5383607,412195.9140167369,672089005113.2404,293722165943.75397,85543462858.12007,0.0,2707587965.8817587,63812568320.74439,377997967045.4725,1267661756.401603,23212.963919281494,294091038067.7679,290115788345.4845
ssa,2029,1896190490792.1436,535810725.3552602,0.0,280925703864.0988,75023363009.28783,11198744923.943384,0.0,3607267233.087717,14987514467.408503,86222107933.23122,0.0,4393.567717593679,194703595930.8676,191096328697.7799
us,2030,19034829152406.406,171673992.0823647,4706906.758866999,833669638305.7281,962372575381.5964,107083123160.27177,179176164362.2608,0.0,5289092299.531082,1040340064128.6982,29115634413.169884,65840.10188919432,-206670425822.9701,-56609895873.87917
oecd-ex-us,2030,23491819572302.824,385424359.7734961,6272177.251225639,939757724711.4391,1209229983542.736,127257585729.7774,149562362968.42487,0.0,4997400204.702563,1311351870546.6785,25135698725.83527,45255.29305182552,-371594145835.2394,-247167481592.64978
china,2030,22540441402808.8,737332396.7192405,0.0,974788507965.7922,1138057830028.7515,121531510724.32199,0.0,7359525289.542432,8843352934.647593,1259589340753.0735,0.0,27195.727807779884,-284800832787.28125,-292160358076.82367
india,2030,6639107912982.765,812569440.6706854,0.0,729223587279.8358,329044440283.72156,92063888028.77687,0.0,18420520163.45282,3122496908.1583343,421108328312.4984,0.0,9959.777508732528,308115258967.3374,289694738803.8846
latam,2030,5409964277302.264,312799955.1427212,0.0,386064498646.6134,266766469311.25745,40783575222.68726,0.0,7687125224.164046,74595764213.0759,307550044533.9447,0.0,17030.323695723804,78514454112.6687,70827328888.50465
seasia,2030,5501642750522.552,352185041.93628347,0.0,423800658618.4929,264899218206.15692,39829183517.78916,0.0,1514326666.4811506,70354965342.34839,304728401723.9461,0.0,15427.68486150673,119072256894.54681,117557930228.06566
russia,2030,5255681832402.389,145577058.72535425,972241.6782324542,277965921164.71606,258281360349.8519,31098495007.977707,11232233852.769289,0.0,76579509551.94609,287463380946.38226,1916474411.447377,23716.746981368073,-9497459781.666199,-181700340.34428668
mena,2030,6044726505775.208,243805653.31474546,404195.2345990645,668724695849.3527,302776741958.35345,90560669925.07419,0.0,7167633059.937019,1668048577.781127,392100355235.7186,1237056647.7090244,23932.10930710392,276624340613.63403,268219650905.988
ssa,2030,2087798959299.0967,557830141.2240518,0.0,286740640924.4185,80363537144.24748,12203595877.842926,0.0,3843433738.9908357,1278394343.6169317,92567133022.09041,0.0,4644.205249223411,194173507902.32812,190330074163.33728
us,2031,19281153944033.78,171891756.55106536,5640791.760934183,824169935654.6006,959559479490.6056,110023711881.30315,181690915214.7209,0.0,310047132129.9589,1033739335873.2242,35843855498.68445,66841.54316421963,-209569400218.62366,-63722340502.58722
oecd-ex-us,2031,23633235428378.277,383223143.7930045,7412558.007282005,922092558497.4724,1200190783362.4836,129500099306.80605,145873453556.11377,0.0,403140726691.13025,1299101678535.486,30589204133.803757,46202.73363074432,-377009120038.0137,-261724870615.70367
china,2031,22221882548669.29,741542873.8626046,0.0,928949647484.5809,1128652194423.0427,119380167830.02094,0.0,8128395892.801512,8652256521.767939,1248032362253.0637,0.0,27977.989736417916,-319082714768.4828,-327211110661.2843
india,2031,6913485386568.338,819713433.1027505,0.0,724699367867.9742,337880925910.2747,96914467770.85252,0.0,18444479320.636078,2917978719.363002,434795393681.12726,0.0,10401.817343343451,289903974186.847,271459494866.2109
