region,year,agegrp,pop_thousands,series
china,1963,20-24,52686.235,estimate
china,1963,25-29,51997.55,estimate
china,1963,30-34,46702.863,estimate
china,1963,35-39,41193.573,estimate
china,1963,40-44,35779.755,estimate
china,1963,45-49,31944.238,estimate
china,1963,5-9,101704.462,estimate
china,1963,50-54,26948.385,estimate
china,1963,55-59,22941.6,estimate
china,1963,60-64,17476.963,estimate
china,1963,65-69,12195.893,estimate
china,1963,70-74,7611.349,estimate
china,1963,75-79,4078.17,estimate
china,1963,80-84,1696.98,estimate
china,1963,85-89,416.117,estimate
china,1963,90-94,73.141,estimate
china,1963,95-99,6.39,estimate
china,1964,0-4,107472.741,estimate
china,1964,10-14,91379.324,estimate
china,1964,100+,0.33,estimate
china,1964,15-19,64802.247,estimate
china,1964,20-24,53092.462,estimate
china,1964,25-29,51674.159,estimate
china,1964,30-34,47853.782,estimate
china,1964,35-39,41894.421,estimate
china,1964,40-44,36722.963,estimate
china,1964,45-49,32005.936,estimate
china,1964,5-9,98735.468,estimate
china,1964,50-54,27512.622,estimate
china,1964,55-59,23211.243,estimate
china,1964,60-64,18129.083,estimate
china,1964,65-69,12247.51,estimate
china,1964,70-74,7768.08,estimate
china,1964,75-79,4147.643,estimate
china,1964,80-84,1726.884,estimate
china,1964,85-89,413.504,estimate
china,1964,90-94,70.337,estimate
china,1964,95-99,5.887,estimate
china,1965,0-4,118772.901,estimate
china,1965,10-14,95384.901,estimate
china,1965,100+,0.44,estimate
china,1965,15-19,69457.353,estimate
china,1965,20-24,53904.463,estimate
china,1965,25-29,51400.176,estimate
china,1965,30-34,48878.653,estimate
china,1965,35-39,42566.329,estimate
china,1965,40-44,37644.149,estimate
china,1965,45-49,32322.869,estimate
china,1965,5-9,93201.291,estimate
china,1965,50-54,28120.492,estimate
china,1965,55-59,23489.855,estimate
china,1965,60-64,18717.481,estimate
china,1965,65-69,12396.112,estimate
china,1965,70-74,7971.227,estimate
china,1965,75-79,4199.28,estimate
china,1965,80-84,1734.53,estimate
china,1965,85-89,425.356,estimate
china,1965,90-94,68.257,estimate
china,1965,95-99,5.474,estimate
china,1966,0-4,130317.759,estimate
china,1966,10-14,97940.167,estimate
china,1966,100+,0.447,estimate
china,1966,15-19,74473.406,estimate
china,1966,20-24,55081.268,estimate
china,1966,25-29,51433.034,estimate
china,1966,30-34,49824.799,estimate
china,1966,35-39,43479.653,estimate
china,1966,40-44,38265.061,estimate
china,1966,45-49,32869.699,estimate
china,1966,5-9,87508.166,estimate
china,1966,50-54,28783.952,estimate
china,1966,55-59,23657.714,estimate
china,1966,60-64,19159.498,estimate
china,1966,65-69,12736.768,estimate
china,1966,70-74,8188.463,estimate
china,1966,75-79,4234.284,estimate
china,1966,80-84,1743.127,estimate
china,1966,85-89,448.495,estimate
china,1966,90-94,67.337,estimate
china,1966,95-99,5.069,estimate
china,1967,0-4,136528.092,estimate
china,1967,10-14,99520.728,estimate
china,1967,100+,0.53,estimate
china,1967,15-19,79998.474,estimate
china,1967,20-24,57084.245,estimate
china,1967,25-29,51524.593,estimate
china,1967,30-34,50589.288,estimate
china,1967,35-39,44437.525,estimate
china,1967,40-44,38915.526,estimate
china,1967,45-49,33420.861,estimate
china,1967,5-9,85668.797,estimate
china,1967,50-54,29431.244,estimate
china,1967,55-59,23899.077,estimate
china,1967,60-64,19460.977,estimate
china,1967,65-69,13190.897,estimate
china,1967,70-74,8361.24,estimate
china,1967,75-79,4314.396,estimate
china,1967,80-84,1770.074,estimate
china,1967,85-89,473.04,estimate
china,1967,90-94,67.079,estimate
china,1967,95-99,5.367,estimate
china,1968,0-4,136491.801,estimate
china,1968,10-14,99812.342,estimate
china,1968,100+,0.547,estimate
china,1968,15-19,85499.471,estimate
china,1968,20-24,60112.177,estimate
china,1968,25-29,51597.238,estimate
china,1968,30-34,50806.766,estimate
china,1968,35-39,45512.925,estimate
china,1968,40-44,39832.485,estimate
china,1968,45-49,34135.666,estimate
china,1968,5-9,91799.768,estimate
china,1968,50-54,29793.302,estimate
china,1968,55-59,24367.454,estimate
china,1968,60-64,19711.166,estimate
china,1968,65-69,13730.805,estimate
china,1968,70-74,8506.745,estimate
china,1968,75-79,4449.886,estimate
china,1968,80-84,1820.937,estimate
china,1968,85-89,495.547,estimate
china,1968,90-94,67.432,estimate
china,1968,95-99,5.414,estimate
china,1969,0-4,136645.539,estimate
china,1969,10-14,96994.177,estimate
china,1969,100+,0.385,estimate
china,1969,15-19,90195.787,estimate
china,1969,20-24,63848.673,estimate
china,1969,25-29,52090.33,estimate
china,1969,30-34,50557.041,estimate
china,1969,35-39,46707.647,estimate
china,1969,40-44,40587.771,estimate
china,1969,45-49,35130.413,estimate
china,1969,5-9,102480.215,estimate
china,1969,50-54,29962.839,estimate
