region,year,lu,lp,ls,lh,cov_pop,source
china,1980,26.55214803545346,48.396378341989305,23.76111930667924,1.2921556666480343,411469.0,leelee
china,1985,24.349943665673546,42.42744138752631,31.39013319890649,1.7349436549021635,464193.0,leelee
china,1990,23.355622396864693,36.04162670265461,38.12185760861608,2.48089329186461,532771.0,leelee
china,1995,15.009727088462155,36.18826027617342,45.36650443763216,3.435508197732256,616207.0,leelee
china,2000,7.933415725338014,34.09804934505626,52.87171695729234,4.999092864028474,687769.0,leelee
china,2005,5.209648520329458,29.954978386834778,59.99596885850872,4.8394042343270485,733812.0,leelee
china,2010,3.144227457109513,24.58209563151969,67.5656548350445,4.610353869012426,778028.0,leelee
india,1870,99.65955831878713,0.04246376527350108,0.19898895796967855,0.0,101974.0,leelee
india,1875,99.65734430421118,0.14265569578883625,0.29801601414935647,0.0,104033.0,leelee
india,1880,99.54869500372855,0.15242032227734006,0.2988846739940991,0.0,92529.0,leelee
india,1885,99.35148514851485,0.2495049504950495,0.398019801980198,0.0,108676.0,leelee
india,1890,99.04383090070613,0.4582494363047573,0.49791966298911583,0.0,107771.0,leelee
india,1895,98.42923954106618,0.9729047152651462,0.597855743668672,0.0,114352.0,leelee
india,1900,97.60477601398783,1.5975185398919907,0.6977054461201884,0.0,116101.0,leelee
india,1905,96.67765504413516,2.325874137284015,0.8976472123872147,0.09882360619360733,122578.0,leelee
india,1910,93.57144541713197,5.330980141035353,0.9987872209163393,0.09878722091633933,128053.0,leelee
india,1915,90.7009606925706,8.079397270512032,1.1209515060452009,0.1,128449.0,leelee
india,1920,88.34433437689827,10.019927417721913,1.4384872981013348,0.19862545363923806,128406.0,leelee
india,1925,85.88611828729536,12.057884036259688,1.660418545637984,0.29705275387131785,130834.0,leelee
india,1930,83.02204438657928,14.492265271916434,1.991811080183173,0.3969396306605609,133644.0,leelee
india,1935,80.97771982168068,16.31099334432181,2.2158602655316546,0.4954265684658557,143787.0,leelee
india,1940,79.32519703306546,17.633115732357243,2.4477164786018544,0.5939707559754346,155177.0,leelee
india,1945,77.27298749705973,19.354506908884748,2.5820013148292227,0.6936695194842009,165801.0,leelee
india,1950,76.06771169059478,20.476285079287944,2.7639413147720693,0.6920619153452009,139933.0,leelee
india,1955,74.5090768934284,21.799206012719214,2.899934476777799,0.7917826170745809,155670.0,leelee
india,1960,74.04092197523498,23.09562193736444,2.26758627021196,0.5958698171886296,174278.0,leelee
india,1965,71.81446451612904,23.510485161290323,3.7833847741935482,0.989581935483871,193750.0,leelee
india,1970,70.9167151528714,23.261094949042864,4.715779928576091,1.202136656503212,214494.0,leelee
india,1975,70.10647450297063,18.956978565280373,9.24096739655281,1.6933693027942813,238165.0,leelee
india,1980,69.74662472870446,12.519344258620754,15.067247671808051,2.666783340866726,267697.0,leelee
india,1985,62.08169509419022,15.983463429118144,18.456942364158227,3.477899112533404,303110.0,leelee
india,1990,54.9791920545942,19.45583719229832,21.05385084084816,4.608895929807458,344652.0,leelee
india,1995,51.74709214598092,17.57165545638219,24.515231068259123,6.263820618398507,391010.0,leelee
india,2000,47.83075316795788,15.68702616668594,27.65032002666322,8.831900638692957,441057.0,leelee
india,2005,43.09400713649619,16.008574392164935,31.66665899082363,9.230759480515244,490717.0,leelee
india,2010,38.35904936814028,16.027210051452478,35.88187648490678,9.731864095500459,548856.0,leelee
latam,1870,94.3461560183551,5.55708436286622,0.06407342040240029,0.04291563713378045,14165.0,leelee
latam,1875,93.23682407956267,6.648172297964828,0.09264308766383454,0.04351577422116842,15183.0,leelee
latam,1880,91.93401714635641,7.915107164727496,0.10090018371096142,0.04755664421310472,16330.0,leelee
latam,1885,90.50353957161526,9.328861996477475,0.12311232316345663,0.053411737969433555,17601.0,leelee
latam,1890,88.92978082915236,10.856287298653287,0.1630472669659361,0.0658040665434381,18935.0,leelee
latam,1895,87.30490523421388,12.380987921044877,0.2152312677992733,0.1000098202887165,20366.0,leelee
latam,1900,83.33247678587848,15.881870000919372,0.5512457479084305,0.20658269743495444,21754.0,leelee
latam,1905,80.04099567459656,18.85168025286974,0.8688654134087507,0.2516345034104142,24044.0,leelee
latam,1910,74.71470547566372,23.356962112831862,1.5355849004424778,0.4219994469026549,28928.0,leelee
latam,1915,69.02261292368402,28.296811359312244,2.139105771263477,0.543034317525192,28382.0,leelee
latam,1920,65.0015508055309,31.613300773817073,2.723274768489154,0.6686572370924775,31532.0,leelee
latam,1925,60.32076851093695,35.46868932038835,3.3656129371856363,0.8411948765937538,34196.0,leelee
latam,1930,56.36218487394957,38.71574832464631,3.9548345920646732,0.9546191894479311,37604.0,leelee
latam,1935,52.77657771927725,41.64564078018427,4.507555342826373,1.0770252482948426,41785.0,leelee
latam,1940,50.21874104623399,43.6866442370306,4.97227479921858,1.131428261341437,46070.0,leelee
latam,1945,47.64896747698477,45.60446485918372,5.46646295178964,1.2198875026761906,51379.0,leelee
latam,1950,46.121443353586855,46.83984536679856,5.7839770864720785,1.247684640982765,60401.0,leelee
latam,1955,43.654060045511265,48.19647948322689,6.692248403435367,1.4136504441018864,68115.0,leelee
latam,1960,40.60639543296108,49.82663799113426,7.8902779422017035,1.6543361877326597,76023.0,leelee
latam,1965,36.80200150613042,51.59623232061752,9.534929282470053,2.080814487091992,84986.0,leelee
latam,1970,32.42405642554263,53.1059227927285,11.712012469037326,2.687774465762627,95276.0,leelee
latam,1975,27.784716209494697,55.71934123021941,12.174195420297332,4.33056205441851,108566.0,leelee
latam,1980,24.53121295047831,54.48505333535451,15.008380472159505,5.974963100072603,125339.0,leelee
latam,1985,21.23110511164065,52.677702172206224,18.815431342029502,7.274235871017507,145198.0,leelee
latam,1990,18.953390957446807,49.366174724544074,22.78847240691489,8.882366665083586,168448.0,leelee
latam,1995,15.948957377185204,46.30449927656861,27.267547230476424,10.53226089166161,192831.0,leelee
latam,2000,12.62571569347561,43.418468199258186,32.121848781667296,11.828273713120398,219193.0,leelee
latam,2005,9.020402198816397,39.11617295844431,38.37710267889671,13.377477513944996,247042.0,leelee
latam,2010,6.997984317226013,34.81580034036192,42.7315154088153,15.471817089941904,275589.0,leelee
mena,1870,99.73540410541291,0.24580312986925007,0.02644807262380598,0.007655307905968431,14761.0,leelee
mena,1875,99.73558946094906,0.25018819733835196,0.022314827261728728,0.00809248554913295,14878.0,leelee
mena,1880,99.60704007227206,0.34561528037684713,0.047344647351100215,0.01617732464347938,15497.0,leelee
mena,1885,99.46655504395143,0.4990013753513125,0.0509836751778987,0.016707528553489205,16723.0,leelee
mena,1890,99.31730198712567,0.6203582423733557,0.06160649314301708,0.01674223341729639,17865.0,leelee
mena,1895,99.12746452675772,0.8010362969655099,0.0909868735717702,0.012711909443588246,18817.0,leelee
mena,1900,98.60810769775799,1.11711625082241,0.23980970696897613,0.061809808188673515,19759.0,leelee
mena,1905,97.70872541457771,1.8090242961820286,0.40051581180100265,0.08429425376012342,20744.0,leelee
mena,1910,96.85557299118476,2.48450177689574,0.5208473715788987,0.11517053583791019,21667.0,leelee
mena,1915,95.67358055821232,3.422406747239371,0.7467394139640031,0.18128858360142597,23002.0,leelee
mena,1920,94.61008287292817,4.284810815335677,0.8667922317093587,0.19907918968692448,23892.0,leelee
mena,1925,93.80062439182615,4.8565844956211475,1.0803113850145962,0.2624797275381122,24664.0,leelee
mena,1930,93.08501922564434,5.318190124490806,1.2935394220885523,0.32897171355693455,26267.0,leelee
mena,1935,92.34461958061773,5.786579059223577,1.4913679512609805,0.4079271748370644,28232.0,leelee
mena,1940,91.72372531682876,6.053030749582473,1.712165569636834,0.4882699675803124,30537.0,leelee
mena,1945,90.84551994973297,6.638290920515237,1.9433427584040213,0.5710775997486648,31830.0,leelee
