region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
russia,2083,8721974045106.145,116934881.36030631,6829113.755336129,361138184270.36774,418730363099.52924,51381614777.561874,28171982157.351776,0.0,2718586728.384542,442781261975.44574,27330715901.64511,92352.85436398468,-81643077705.078,-80801811449.37134
mena,2083,14719520734657.602,247551447.72917962,0.0,851229976837.6747,819715880712.4147,204021360455.999,0.0,13863019606.228815,3233387895.2990313,1023737241168.4137,0.0,92728.34761969531,-172507264330.739,-186370283936.96783
ssa,2083,15256153320397.414,1353055399.3679917,0.0,700883197840.8351,705717494753.7738,94929551606.6321,0.0,10119458620.718153,8910616993.91387,800647046360.4059,0.0,44420.773819246286,-99763848519.5708,-109883307140.28896
us,2084,33297662145738.72,147712300.73708302,35648700.943753496,1230075075934.4912,1648430522110.1047,186706245358.94284,450252807182.4179,0.0,6416186318.653245,1391474566073.1765,443662201395.8729,148252.28705638958,-161399490138.6853,-154808884352.14032
oecd-ex-us,2084,31027087535475.246,212276470.9828175,34985412.59383234,1180826713223.5432,1525915427138.015,167849176958.92657,277337934061.5688,0.0,4594674685.28309,1405439435171.7659,288325168925.1748,125606.53406284652,-224612721948.22266,-235599956811.82867
china,2084,11506618977530.547,174001869.24165714,0.0,398505279271.38684,614135699161.4268,66864523138.12511,0.0,6804267940.115264,2648849722.9405584,681000222299.5519,0.0,100282.57141294116,-282494943028.16504,-289299210968.2803
india,2084,16318666961026.885,735208165.4439551,0.0,879862952965.5192,875037642457.8124,192246237388.35495,0.0,28962850348.663536,4892633180.142099,1067283879846.1674,0.0,64319.53780678687,-187420926880.6482,-216383777229.31174
latam,2084,8133236071913.073,190213471.52733502,0.0,346828636595.2211,416777503142.7028,58620975737.43246,0.0,7705391595.353546,2130426765.882967,475398478880.13525,0.0,81535.9090948599,-128569842284.91412,-136275233880.26767
seasia,2084,9941353776199.47,251135776.2816018,0.0,429300452097.021,503429079799.46356,70584024645.41359,0.0,3802824859.468389,140360140377.17883,574013104444.8772,0.0,78049.74131886438,-144712652347.8562,-148515477207.3246
russia,2084,8643584118677.799,115732970.2960079,6819816.620020913,358587060407.72046,415373299489.5988,50921695134.09079,26612514530.138756,0.0,2705493257.4836698,438959393339.24426,27335601284.44547,94393.56803016318,-80372332931.5238,-81095419685.83052
mena,2084,14540535739591.926,244493280.59390634,0.0,841633339430.0354,810093172999.2887,201363916816.21906,0.0,12248998755.93222,3087754075.7132607,1011457089815.5078,0.0,94771.59016103219,-169823750385.4724,-182072749141.40463
ssa,2084,15151193728935.96,1360154393.7056065,0.0,693920651505.6543,702177566888.9115,94194351050.07274,0.0,10972059402.161661,8463734374.034228,796371917938.9843,0.0,45903.53827694531,-102451266433.32996,-113423325835.49162
us,2085,33132582345698.875,146745544.07486525,35656982.76700794,1226619779099.7188,1641371956595.5154,185809342383.24493,429177951936.6007,0.0,6303767902.639418,1382919802803.7827,444261496174.9774,150489.84886193747,-156300023704.06396,-171383567942.44067
oecd-ex-us,2085,30797627200993.77,210017571.09575316,34879810.0232896,1176655018184.6538,1514862741741.0652,166599274393.99658,271101996604.79865,0.0,4244666864.1383777,1393989422811.9019,287472593323.16046,127819.72350010162,-217334404627.24805,-233705001345.60986
china,2085,11234281541921.184,168044460.03329095,0.0,396081509733.94763,599671631751.7412,65399626114.08811,0.0,6019417800.242809,2671730322.764031,665071257865.8293,0.0,102394.80063249002,-268989748131.8817,-275009165932.1245
india,2085,16108671437924.484,723997869.1216185,0.0,869541231337.7948,863799181393.853,189546136233.7841,0.0,30790831605.501842,4599394792.940689,1053345317627.6371,0.0,66113.26365059931,-183804086289.8423,-214594917895.34412
latam,2085,8002254041822.142,186460528.12115386,0.0,342394036213.3714,409865635670.0608,57630168264.22287,0.0,7836156863.620755,1955894493.5994942,467495803934.2837,0.0,83512.12011465497,-125101767720.9123,-132937924584.53305
seasia,2085,9799953569667.459,246975410.64953426,0.0,424266831773.71063,496143296617.4074,69514142105.1057,0.0,3729344886.456522,3719745303.25089,565657438722.5131,0.0,79993.87244844822,-141390606948.80243,-145119951835.25894
russia,2085,8564557260919.92,114557746.1673127,6792589.714529139,355916957709.6548,412024920682.38525,50462755979.91125,24843926908.017403,0.0,2699934286.747411,435231332310.0442,27256344352.252323,96469.29210774116,-79314374600.3894,-81726792044.62433
mena,2085,14366740158042.055,241522534.3195022,0.0,832157858212.3943,800585644080.1921,198790056437.21384,0.0,9680036723.663954,3102297478.8065205,999375700517.406,0.0,96849.82054596348,-167217842305.01172,-176897879028.67566
ssa,2085,15045171735951.16,1352579279.8800156,0.0,686986708197.6254,698427004417.4343,93438417298.14133,0.0,9389693784.582966,8246414317.732606,791865421715.5757,0.0,47423.0296074535,-104878713517.95032,-114268407302.53328
us,2086,32989159738278.836,145865587.40935367,35709766.29946078,1223074493830.4285,1634034071089.2878,184843881588.4717,446487919998.87335,0.0,5892931428.368208,1374683557962.0508,444194394715.7093,152760.97224634764,-151609064131.6223,-149315538848.45825
