region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
russia,2084,13202515788026.639,161825224.38600713,6819698.993178925,627533026181.233,595265684542.3928,75119427611.32317,26611117733.98745,0.0,3650663426.097269,643051273092.7623,27333839060.95365,94393.56803016318,-15518246911.529297,-16240968238.495499
mena,2084,25666417175756.516,375766764.9724609,0.0,1666320980413.9648,1329091293485.0068,363166893149.916,0.0,13901969145.357445,4710963844.481129,1692258186634.9229,0.0,94771.59016103219,-25937206220.958008,-39839175366.31545
ssa,2084,24315984813981.53,1953273285.8897765,0.0,1291804966571.9697,1039600772274.5084,143449526422.84137,0.0,12018534388.645706,11538398478.292364,1183050298697.3499,0.0,45903.53827694531,108754667874.61987,96736133485.97417
us,2085,51008955124587.36,206555216.50845078,35656983.28188498,2277888323121.185,2362122775314.6094,278934468865.8113,429097049952.9897,0.0,8510154470.406148,2196843249702.7495,444213994477.67194,150489.84886193747,81045073418.43555,65928128893.753296
oecd-ex-us,2085,48939141912962.16,308126373.3387798,34879211.79391438,2189635246301.2922,2266552923301.4434,258085469218.69925,271079749726.43234,0.0,6001717938.558422,2237193041339.423,287445351180.7207,127819.72350010162,-47557795038.130615,-63923396492.418976
china,2085,23138765351473.594,298774901.701451,0.0,943511308202.1791,1137768002365.9883,128055920282.2143,0.0,6865736067.302698,4748895576.671437,1265823922648.2026,0.0,102394.80063249002,-322312614446.02356,-329178350513.32623
india,2085,28572667185803.152,1117662461.6606097,0.0,1702138718107.6372,1426905731296.192,341715967748.97485,0.0,34210256877.73596,7077038563.324652,1768621699045.1667,0.0,66113.26365059931,-66482980937.52954,-100693237815.2655
latam,2085,14702638144280.43,300790828.63758576,0.0,712700539879.1444,694988358967.2893,104239537021.6695,0.0,8776588159.41433,3081931621.875331,799227895988.9587,0.0,83512.12011465497,-86527356109.81433,-95303944269.22867
seasia,2085,16781988174736.219,377609066.10876423,0.0,816127170655.3379,789593037316.6327,116653797215.87404,0.0,4138616876.8283544,5515362577.679014,906246834532.5067,0.0,79993.87244844822,-90119663877.16882,-94258280753.99718
russia,2085,13187776036697.258,161610635.43209466,6792468.608340737,626873285363.4148,595124951585.8303,75002829934.07668,24842651802.02535,0.0,3672093025.0949273,642873195630.9285,27254585888.97847,96469.29210774116,-15999910267.513672,-18411844354.466793
mena,2085,25632028374962.906,375480476.5818343,0.0,1661818477520.3042,1327655173707.7705,362355869073.3163,0.0,10980405468.420319,4784169935.589188,1690011042781.087,0.0,96849.82054596348,-28192565260.782715,-39172970729.20303
ssa,2085,24420427863029.758,1963228212.1712863,0.0,1292691211208.3086,1045442065731.1635,143876289908.46826,0.0,10296105203.234707,11366298682.795877,1189318355639.6318,0.0,47423.0296074535,103372855568.67676,93076750365.44205
us,2086,51098308740254.26,206752859.35319033,35709709.138387896,2279943168267.883,2365880010740.4106,279115326303.68744,446402946387.5514,0.0,8002838055.494004,2200850765728.325,444144571315.7721,152760.97224634764,79092402539.55762,81350777611.33691
oecd-ex-us,2086,48883472293576.73,312218447.5417169,35470858.231305026,2188733908278.7993,2264412458789.0747,257597774271.1459,271355963371.3128,0.0,6250742024.632655,2235444999117.167,286565233943.0541,130066.87964497885,-46711090838.367676,-61920361410.10895
china,2086,23158606738953.613,293875593.96026427,0.0,933181926116.1735,1123492047977.7751,130081835161.62239,0.0,5988849691.813977,346222194195.05115,1253573883139.3975,0.0,104542.17997256889,-320391957023.224,-326380806715.03796
india,2086,28777927120893.445,1113100730.332478,0.0,1692867593943.8906,1419530619216.2131,343218890194.5739,0.0,36988358173.63418,312130208730.8196,1762749509410.787,0.0,67944.15210528357,-69881915466.89648,-106870273640.53067
latam,2086,14610266115948.34,298585524.0194264,0.0,707599186616.9072,690766290978.9691,103484046533.43074,0.0,8743240355.82344,3022362919.2248206,794250337512.3999,0.0,85524.60605693856,-86651150895.49268,-95394391251.31612
seasia,2086,16692160869485.479,375433441.68701625,0.0,810559257702.7983,785490327706.6877,115898381443.0812,0.0,4347597720.121981,5349743916.353275,901388709149.7689,0.0,81974.48297896248,-90829451446.97058,-95177049167.09256
