region,year,mig_in_head,mig_out_head,mig_in_gross,mig_out_gross,mig_in_years,entrants,entrant_years,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
ssa,2049,0.0,609287.9999999998,0.0,18111585765.702915,0.0,36566458.755,1420699443.0875418,13607417950973.031,968884504.3366634,0.0,881155860346.022,514428154279.16644,76012967887.76097,0.0,12572775110.527502,5820730373.355346,590441122166.9274,0.0,11986.867309756126,290714738179.0946,278141963068.5671
us,2050,1020325.1482791845,0.0,572236613987.6442,0.0,30055089.61029636,2835888.9850000003,111993240.67989223,38931968688046.625,172434559.32060966,23009857.45974514,1516779725452.0513,2049505946829.0808,225788115700.18115,427037698044.3579,0.0,9405749352.49667,1927378669832.9338,347915392696.32794,88996.99158557889,-410598944380.88257,-331476639032.8526
oecd-ex-us,2050,1095812.3354479505,0.0,404782269119.1494,0.0,32718137.06441276,4709043.955,188002730.70728135,42599935669281.3,331890984.2303342,26615036.867209397,1602672064189.4827,2350078978797.501,241266248359.89807,303109997841.9402,0.0,8802765273.35427,2328893203338.87,262452023818.527,67457.1998475385,-726221139149.3875,-685563165125.9742
china,2050,0.0,132650.4,0.0,27155049970.73107,0.0,6279268.755,256663344.30613065,35715123892324.89,558063888.5592407,0.0,1205236986104.8345,2030114661509.5925,205775240615.84247,0.0,11688676511.246534,12785751657.528448,2235889902125.435,0.0,46297.17255354267,-1030652916020.6006,-1042341592531.8472
india,2050,0.0,1093622.4,0.0,75417897000.91608,0.0,25997155.785,904163072.6784424,23846675450726.18,907500705.5155987,0.0,1542434068493.9722,1153637109413.0107,316254185435.0277,0.0,44193994807.84317,7192039598.848468,1469891294848.0386,0.0,22034.612850688347,72542773645.9336,28348778838.090424
latam,2050,0.0,193147.99999999994,0.0,23620089586.133587,0.0,6108396.235,236879467.00552842,13822907676884.666,296178938.7466718,0.0,672762610576.8339,669715840094.0272,100680966488.75185,0.0,12074877622.619432,4149681735.3992944,770396806582.779,0.0,32757.025072334047,-97634196005.94519,-109709073628.56462
seasia,2050,0.0,67988.00000000006,0.0,7462966585.862372,0.0,7587347.904999999,290116851.139861,15124770004259.822,348976955.2935431,0.0,753266822188.0188,724578381994.6927,105841443667.56718,0.0,3900318186.3819838,5201129459.547235,830419825662.2599,0.0,30449.427595558445,-77153003474.24109,-81053321660.62308
russia,2050,203502.51627286483,0.0,36708492550.52567,0.0,6062699.097448116,2793776.855,111265554.6521367,10980455322276.129,142411954.8760093,4611985.510831187,484276251578.7986,545030519533.7668,65835186934.38545,27476146493.114765,0.0,163474844389.72864,588331459050.3813,22534247417.770947,41842.35169724694,-104055207471.58276,-99113308396.23895
mena,2050,0.0,194424.80000000002,0.0,34406919277.12751,0.0,8580053.32,288433997.891925,20457703107881.34,279420405.00209445,322967.0600160875,1362164165795.3467,1011279234543.2332,305378130246.68994,0.0,18222263340.46013,201303777208.55795,1315278490405.265,1378874384.6582444,42122.857971771475,46885675390.08179,27284537664.963413
ssa,2050,0.0,637806.3999999999,0.0,18970965664.370014,0.0,36545881.05,1421371958.000024,13877552709159.154,989687164.6751491,0.0,883236764198.9205,528347155960.2034,77627452335.68684,0.0,13066633855.045292,5939236138.139382,605974608295.8903,0.0,12537.220537092928,277262155903.0303,264195522047.985
us,2051,1031389.1561895411,0.0,578450117346.8962,0.0,31035953.02431076,2806986.895,112617486.93119492,39291091122502.73,171850650.66111282,23873792.110874422,1504061185591.3103,2037105173154.1104,229944638068.7912,434030888861.1521,0.0,688080171226.5112,1910354918110.6472,356694893112.2534,90345.77339218327,-406293732519.3369,-328957736770.43823
oecd-ex-us,2051,1094969.82227812,0.0,404476279262.32117,0.0,32700867.083674096,4638704.8100000005,185217159.07515314,41936912159066.77,327786757.4984455,27516826.783925284,1582483824236.176,2320456009545.514,236762776877.81314,302899265724.5464,0.0,8812186248.076702,2285814273309.1865,271404513114.1406,68764.77537051654,-703330449073.0105,-671835696462.6047
china,2051,0.0,151708.8,0.0,31061962891.744015,0.0,6114546.6049999995,249975662.45811784,34707392606774.246,545472533.9222106,0.0,1175266115838.0898,1982010919307.7712,199724929253.57556,0.0,13266354375.324614,12004801547.934788,2181735848561.3467,0.0,47461.80988369256,-1006469732723.2568,-1019736087098.5814
india,2051,0.0,1149487.9999999995,0.0,79317264668.75253,0.0,25663574.6,893272251.1404028,23860984472743.164,907611794.1270151,0.0,1526150739074.8247,1159285851868.9854,313622427548.5144,0.0,46243187764.64782,7309750124.301003,1472908279417.4998,0.0,22841.88741547334,53242459657.32495,6999271892.677132
latam,2051,0.0,202663.1999999999,0.0,24791998330.832443,0.0,6002341.6049999995,232870450.6656906,13711589947330.373,293825618.78524756,0.0,662367189930.981,665781074625.8842,99352242514.98436,0.0,12619649828.142242,4068047483.741473,765133317140.8685,0.0,33755.77084613456,-102766127209.88757,-115385777038.02982
seasia,2051,0.0,84351.20000000004,0.0,9262868691.571918,0.0,7469823.3950000005,289798102.94960207,15218286043108.018,347068176.57485646,0.0,742610666057.1244,720273038207.9125,106770838080.61261,0.0,4857143112.136239,182806392191.7359,827043876288.5251,0.0,31412.217047066246,-84433210231.40076,-89290353343.537
russia,2051,205669.02153233893,0.0,37099141610.94489,0.0,6130659.808798311,2762101.23,110046849.80357647,10885194942816.285,141665742.8611121,4780023.973420071,479334875796.18774,541737875640.7581,65121936812.430145,27772481301.179394,0.0,4492075895.974308,583519974182.5953,23339838270.593,42960.07074751609,-104185098386.4076,-99752455355.8212
mena,2051,0.0,212907.20000000036,0.0,37698399484.55276,0.0,8488308.725,285503713.99037355,20470328635493.31,279964876.60346097,316974.70795560913,1349088625563.2876,1017479832270.2675,303657034659.5368,0.0,19809758037.450737,4483527015.936588,1319856630045.2131,1280236884.5911117,43243.73586005359,29231995518.074463,8142000596.032614
ssa,2051,0.0,530909.6000000002,0.0,15800877828.899778,0.0,36511586.675,1421498998.8206003,14136322424930.742,1010430594.725061,0.0,884909784023.8551,542186638858.41156,79321224042.5392,0.0,10793407977.212078,6161202625.897774,621507862900.9508,0.0,13106.942376581273,263401921122.9043,252608513145.69223
us,2052,1016340.5644257206,0.0,570017791270.3763,0.0,30593807.69749678,2778875.44,111512293.71161097,38964964110498.13,171224007.04785123,24710456.596666563,1491634242045.258,2028973073936.7842,227587967101.22733,427741217288.78766,0.0,11058569699.39149,1887075977475.8176,369485063562.19434,91714.78591494045,-395441735430.5596,-337185581703.96625
oecd-ex-us,2052,1095573.2747254195,0.0,404704304179.32275,0.0,32726467.482999064,4570096.029999999,182499070.8090309,41288289742861.36,323640730.628036,28405425.245609496,1562669448966.03,2290496159368.0127,232261864643.19766,303087702768.35077,0.0,8378456071.406625,2242655623474.216,280102400536.99475,70093.1653008658,-679986174508.1858,-657000872276.8298
china,2052,0.0,166501.60000000003,0.0,34096881676.766567,0.0,5954964.79,247081129.96906018,34378257360485.297,532806797.319643,0.0,1146150826896.206,1940121355912.9036,201120477669.4544,0.0,14673477404.261555,680629237801.4644,2141241833582.358,0.0,48648.478849898616,-995091006686.1519,-1009764484090.4135
india,2052,0.0,1047289.6000000002,0.0,72307562755.28694,0.0,25332912.715,882445713.2117498,23860514426018.152,907625079.7712766,0.0,1509852661650.9485,1164490202399.0405,311101607077.9795,0.0,41912602734.64573,7181703835.708241,1475591809477.02,0.0,23671.247216544125,34260852173.928467,-7651750560.717262
latam,2052,0.0,196014.39999999988,0.0,23986731827.82981,0.0,5899059.04,228964800.5079169,13595960070744.621,291415386.5557987,0.0,652197273456.8395,661628865010.6957,98102222320.9219,0.0,12152659154.848614,4056596443.871464,759731087331.6176,0.0,34777.06634183235,-107533813874.77808,-119686473029.6267
seasia,2052,0.0,86938.39999999998,0.0,9550850336.802246,0.0,7354903.465000001,285476300.9241537,15126726313269.342,345078868.9286939,0.0,732153909433.7217,718151857725.9603,105893893300.83191,0.0,4971997497.731141,5304109252.122832,824045751026.7922,0.0,32397.555688620294,-91891841593.07056,-96863839090.8017
russia,2052,221724.56084886062,0.0,39995122992.14365,0.0,6612919.390059028,2731194.695,108857760.8577569,10791321375230.922,140909646.99772936,4961458.325529268,474499222490.892,538354694429.1282,64419627127.540665,29944641704.67834,0.0,4456889775.732024,578640611419.9053,24133710136.763603,44100.05665133066,-104141388929.01324,-98330457361.09851
mena,2052,0.0,231765.59999999983,0.0,41059952914.23836,0.0,8396687.66,282574081.4359572,20464607579568.93,280427826.6890744,310762.90976494673,1335959026380.3696,1022949686813.4468,301965660387.2768,0.0,21396488906.752724,4631753802.730651,1324051930270.9004,863416929.8232281,44386.86702543747,11907096109.469238,-10352809727.106714
ssa,2052,0.0,605128.8,0.0,18018581695.86658,0.0,36463601.345,1421052943.4210238,14379442542176.625,1035918965.0071435,0.0,886174969196.4905,556035233350.044,81090929803.31952,0.0,12175401331.420872,6246712534.176699,637126163153.3635,0.0,13696.481131199938,249048806043.12695,236873404711.7061
us,2053,1026066.9400301706,0.0,575479880766.6078,0.0,30896502.933554392,2751462.915,110432610.21612483,38640992130020.6,170579889.45611024,25544396.875238825,1479456284500.628,2020332049424.0884,225117694904.24023,431874626808.597,0.0,10146852541.579992,1863771604414.1155,381678139914.2152,93104.33258316491,-384315319913.48755,-334118833019.1058
oecd-ex-us,2053,1058295.699421044,0.0,390938794982.7404,0.0,32294209.332451295,4503004.96,182684269.58520788,41435451896868.586,319417568.5423696,29242407.9424175,1543167718431.48,2262910465592.7754,235674380599.458,294358354711.53735,0.0,808220927056.4368,2213316622316.0957,285268223876.1371,71442.66760350799,-670148903884.6157,-661058773049.2155
china,2053,0.0,136620.8000000001,0.0,27982939234.253223,0.0,5799860.43,240692101.92322606,33408944190786.336,520122277.66893923,0.0,1117772268235.1335,1891894593140.4016,195102233698.37268,0.0,11950189735.830942,11861578640.516644,2086996826838.7744,0.0,49857.483150675725,-969224558603.6409,-981174748339.4718
india,2053,0.0,1033569.6000000001,0.0,71401538450.6368,0.0,25005092.825,871682406.493617,23841740295682.098,907448863.198435,0.0,1493542914133.2783,1169517078615.952,308742943231.4176,0.0,41119774524.01132,7062751902.052938,1478260021847.3696,0.0,24523.07627383923,15282892285.908691,-25836882238.10263
latam,2053,0.0,203724.80000000002,0.0,24938744529.524338,0.0,5798293.365,225149391.9401768,13475232780590.182,288936017.00221914,0.0,642229181589.8287,657311566321.6091,96935986412.81042,0.0,12571060889.474606,3862141879.6246805,754247552734.4196,0.0,35821.244876781,-112018371144.59082,-124589432034.06543
seasia,2053,0.0,72868.79999999997,0.0,8008463833.315697,0.0,7242352.779999999,281241777.04542845,15028892158900.402,343028383.52545965,0.0,721876217110.042,715803920461.3971,105076204984.85944,0.0,4137360538.8392725,5307114506.110063,820880125446.2566,0.0,33405.785356613196,-99003908336.2146,-103141268875.05388
russia,2053,192239.76054878562,0.0,34676460384.72567,0.0,5736652.429390944,2700934.215,107692651.8400361,10692694101049.586,140098510.5785675,5110549.356278609,469749284792.7621,534947084820.295,63739721272.9549,25966102124.926834,0.0,4344144994.234573,573696700786.2673,24990105306.98256,45262.61956775428,-103947415993.50525,-102971419175.56097
mena,2053,0.0,179372.79999999996,0.0,31795179672.96978,0.0,8305129.055,279635421.8904795,20447211575088.656,280879587.69182193,304463.69553250505,1322768220044.4424,1027804434281.8975,300303949616.80615,0.0,16422148663.427464,4366308037.412678,1327863778741.5208,244605157.1827829,45552.56113790504,-5095558697.078369,-21762312517.688614
ssa,2053,0.0,650445.5999999994,0.0,19378963274.7813,0.0,36402060.975,1420050657.6330879,14607275888449.088,1056136819.2402209,0.0,887035153350.4026,569732875432.6693,82892205472.40414,0.0,12976510565.33843,6399784392.462937,652625080905.0735,0.0,14306.28898240429,234410072445.3291,221433561879.99066
us,2054,987720.8156405983,0.0,553979195663.8655,0.0,29751211.604126908,2724668.415,109377084.2591317,38300057120721.69,169870614.4836012,26327013.38275809,1467489918791.5063,2011530235833.049,222629186081.89835,415771985062.12915,0.0,9962508762.36122,1840442006932.4104,393717414982.5378,94514.72137809041,-372952088140.90405,-350897518061.3127
oecd-ex-us,2054,1068931.3884676467,0.0,394872376839.4476,0.0,32626679.507610925,4437250.0649999995,180040680.37282097,40801844349132.78,315168439.26285696,30075579.536283158,1523926985350.9446,2232497002489.637,231103407989.0744,297338041954.411,0.0,8727835437.533232,2170578903112.9382,293021507365.773,72813.58479135598,-646651917761.9937,-642335383173.3557
china,2054,0.0,124708.80000000003,0.0,25547951044.544594,0.0,5648690.92,234464350.95701224,32466992114476.79,507410200.4643293,0.0,1090033748021.2655,1843518461764.2563,189202576625.49152,0.0,10826862477.40399,11562076536.33215,2032721038389.7478,0.0,51089.130509036084,-942687290368.4823,-953514152845.8862
india,2054,0.0,1047382.4,0.0,72397102326.74788,0.0,24680058.94,872489326.0356702,24037981365525.055,907053379.4542341,0.0,1477225527677.419,1168023244210.4731,308837944859.38416,0.0,41723258041.039,237599989276.44397,1476861189069.8574,0.0,25397.76147933236,364338607.56152344,-41358919433.47748
latam,2054,0.0,202575.20000000022,0.0,24803924536.421795,0.0,5699810.885,221416956.64966023,13350490600644.842,290856343.6582834,0.0,632441223563.6201,652791876242.5873,95839519602.19493,0.0,12300119339.941837,3748111675.7641535,748631395844.7822,0.0,36888.643053015316,-116190172281.16211,-128490291621.10394
seasia,2054,0.0,86381.6,0.0,9497449733.756475,0.0,7131959.7700000005,277084101.58152115,14923396733413.545,340891064.12678915,0.0,711759380232.9105,713276812917.7421,104319720778.43575,0.0,4867487573.381823,5209215549.806712,817596533696.1779,0.0,34437.25104261359,-105837153463.26733,-110704641036.64915
russia,2054,197090.99589175516,0.0,35551399946.980705,0.0,5884513.313543863,2671211.785,106546856.95047751,10594215186706.756,139267191.13551253,5261675.257902409,465067526515.51276,531310528669.2614,63049789337.42738,26624821630.052326,0.0,4189055518.29715,568689987821.6998,25670330184.98881,46448.073461147105,-103622461306.18707,-102667969861.12357
mena,2054,0.0,189537.5999999999,0.0,33615024981.72682,0.0,8213588.495,276694595.66639704,20408485105366.22,281255662.3268824,297976.42219705606,1309511587572.9294,1036937298629.4071,298639514299.5611,0.0,17198593794.28912,4537349427.8954115,1335563354353.3818,13458575.586310228,46741.13168754314,-26051766780.452393,-43263819150.32783
ssa,2054,0.0,603157.6000000003,0.0,17980070125.35882,0.0,36327201.985,1418504141.6443343,14821438567084.291,1076141031.0332851,0.0,887495746241.2413,583279269091.9777,84703919820.32735,0.0,11926758869.384048,6576880175.657729,667983188912.305,0.0,14936.821947020975,219512557328.93628,207585798459.55225
us,2055,971841.839008998,0.0,545078610627.27795,0.0,29282650.281869035,2698421.83,108344768.27376394,37953592508338.45,169119669.9402606,27080689.630490318,1455703044946.5728,2001858352095.4768,219952662780.25845,409125951869.1924,0.0,10517405676.747683,1817091608677.0508,404719406198.6825,95946.26490114183,-361388563730.478,-356982018059.96814
oecd-ex-us,2055,1043894.797670761,0.0,385628091414.0648,0.0,31870166.87559547,4372679.41,177444460.07082915,40177183625072.445,310860099.4142229,30868664.922508866,1504904827730.7505,2201911584704.0156,226608614950.1603,290394440200.4754,0.0,8560207662.664163,2127863094654.9314,300657104999.24384,74206.22399561237,-622958266924.1809,-633220931722.9493
china,2055,0.0,134049.60000000006,0.0,27466877243.951935,0.0,5501021.835,228378579.25285342,31550936541005.727,494658342.2771423,0.0,1062858603495.7856,1794944150717.5532,183437074329.5886,0.0,11551328798.472708,11018376878.793139,1978381225047.1418,0.0,52343.732753853445,-915522621551.3562,-927073950349.8289
india,2055,0.0,1003222.4000000008,0.0,69383824223.38031,0.0,24357775.775,861746868.6494646,23987846179644.062,906498172.9313816,0.0,1460905476005.1604,1172214782435.569,306648174580.2337,0.0,39686187748.790535,7508482878.440651,1478862957015.8027,0.0,26295.69264128282,-17957481010.642334,-57643668759.43287
latam,2055,0.0,199863.99999999994,0.0,24480197140.264736,0.0,5603401.12,217761785.7281221,13222078387493.607,288272571.09606725,0.0,622813932627.5105,648104394645.5769,94808395349.69017,0.0,12069871775.96103,3756515992.483757,742912789995.2671,0.0,37979.6008359586,-120098857367.75659,-132168729143.71762
seasia,2055,0.0,86316.79999999999,0.0,9494237827.193686,0.0,7023537.385,272995040.06594807,14811333539527.15,338682755.8747177,0.0,701787419354.4618,710502214336.1547,103609121868.75354,0.0,4825365814.644401,5086088778.686248,814111336204.9082,0.0,35492.30096828057,-112323916850.44641,-117149282665.0908
russia,2055,189982.56332024146,0.0,34269753693.001854,0.0,5675352.561122192,2641934.625,105418808.90618074,10494601488829.824,140552829.4002802,5402713.892204217,460438937978.6831,527596466912.59735,62369478987.61551,25668496951.47307,0.0,4244813093.122145,563615302130.316,26350643769.89675,47656.73618403935,-103176364151.63293,-103858510970.05661
mena,2055,0.0,214187.19999999995,0.0,37999888228.02425,0.0,8122038.01,273746844.5349862,20346481469321.746,284650330.81020445,291291.3193169181,1296187024356.1929,1046791619404.6685,296849006461.9488,0.0,19101587568.417313,4551553034.370322,1343640625866.6172,0.0,47952.896067365655,-47453601510.42432,-66555189078.84163
ssa,2055,0.0,568079.2,0.0,16943572273.099722,0.0,36239349.795,1416401922.819335,15021242309163.264,1095887745.6511364,0.0,887564475078.6376,596731247927.3062,86517370198.40968,0.0,11129694206.249786,6617579332.300077,683248618125.7158,0.0,15588.539837920822,204315856952.92175,193186162746.67197
us,2056,983637.6615526418,0.0,551699381103.7415,0.0,29647112.762950618,2672663.495,107329687.94249493,37613360241859.79,168355072.60003874,27832823.27418926,1444068743130.3394,1990876774580.908,217187890665.066,414126983460.46967,0.0,9636672176.512182,1793760932632.7842,414303732613.18854,97399.28044323107,-349692189502.4448,-349868938655.1637
oecd-ex-us,2056,1031935.1180839095,0.0,381214251487.8245,0.0,31512353.682821475,4309168.665,174889735.1487095,39565663257046.19,306508379.3219449,31634667.650764443,1486067518577.422,2170743951756.5632,222088107197.56088,287087147345.3374,0.0,8157025005.08113,2085208729834.189,307623329119.93414,75620.897037027,-599141211256.7668,-619677393031.3635
china,2056,0.0,139746.40000000002,0.0,28639907849.86992,0.0,5356514.415,222425838.21634197,30662629985996.082,481880917.9886142,0.0,1036187957230.5374,1746124852937.8293,177800379335.8689,0.0,11953790651.9342,11384510685.406765,1923925232273.6982,0.0,53621.60590222103,-887737275043.1609,-899691065695.0951
india,2056,0.0,990179.1999999996,0.0,68519916947.24275,0.0,24038227.41,851072784.2205454,23915436764556.164,905750790.7339324,0.0,1444588618813.7537,1181231566611.0261,304409021350.445,0.0,38873099433.76346,7515653493.580769,1485640587961.4712,0.0,27217.262531797656,-41051969147.71753,-79925068581.48099
