region,year,population
oecd-ex-us,2071,621788379.8
china,2071,889573372.5
india,2071,2076504495.7
latam,2071,584370615.4
seasia,2071,669172761.2
russia,2071,257853147.8
mena,2071,693551986.0
ssa,2071,2282403796.4
us,2072,334502382.5
oecd-ex-us,2072,616404584.7
china,2072,874233373.4
india,2072,2065350643.4
latam,2072,579247784.8
seasia,2072,663895769.7
russia,2072,256315181.9
mena,2072,691156401.5
ssa,2072,2290377467.1
us,2073,333441167.5
oecd-ex-us,2073,611030604.8
china,2073,858982711.9
india,2073,2053830036.3
latam,2073,574053375.0
seasia,2073,658543313.3
russia,2073,254765025.8
mena,2073,688632369.1
ssa,2073,2297715518.2
us,2074,332360020.7
oecd-ex-us,2074,605668029.2
china,2074,843828468.2
india,2074,2041957701.0
latam,2074,568791975.6
seasia,2074,653119951.8
russia,2074,253203614.9
mena,2074,685984269.8
ssa,2074,2304423030.6
us,2075,331259250.2
oecd-ex-us,2075,600318300.2
china,2075,828777238.2
india,2075,2029748701.0
latam,2075,563468135.8
seasia,2075,647630180.2
russia,2075,251631820.2
mena,2075,683216398.8
ssa,2075,2310505698.3
us,2076,330139199.5
oecd-ex-us,2076,594982729.4
china,2076,813835170.3
india,2076,2017218113.9
latam,2076,558086361.5
seasia,2076,642078430.8
russia,2076,250050449.4
mena,2076,680332962.1
ssa,2076,2315969813.4
us,2077,329000248.8
oecd-ex-us,2077,589662512.4
china,2077,799008001.3
india,2077,2004381007.2
latam,2077,552651111.3
seasia,2077,636469075.2
russia,2077,248460250.0
mena,2077,677338076.5
ssa,2077,2320822248.8
us,2078,327842815.9
oecd-ex-us,2078,584358744.4
china,2078,784301090.0
india,2078,1991252416.1
latam,2078,547166794.7
seasia,2078,630806426.5
russia,2078,246861912.4
mena,2078,674235769.4
ssa,2078,2325070436.6
us,2079,326667356.5
oecd-ex-us,2079,579072434.6
china,2079,769719450.1
india,2079,1977847320.6
latam,2079,541637769.1
seasia,2079,625094741.1
russia,2079,245256075.1
mena,2079,671029981.5
ssa,2079,2328722344.4
us,2080,325474364.0
oecd-ex-us,2080,573804520.2
china,2080,755267779.1
india,2080,1964180623.4
latam,2080,536068337.8
seasia,2080,619338220.3
russia,2080,243643329.8
mena,2080,667724569.6
ssa,2080,2331786448.2
us,2081,324264368.9
oecd-ex-us,2081,568555879.1
china,2081,740950487.3
india,2081,1950267127.9
latam,2081,530462748.1
seasia,2081,613541011.9
russia,2081,242024227.0
mena,2081,664323310.6
ssa,2081,2334271703.4
us,2082,323037938.1
oecd-ex-us,2082,563327342.0
china,2082,726771722.9
india,2082,1936121516.8
latam,2082,524825188.4
seasia,2082,607707210.2
russia,2082,240399282.4
mena,2082,660829906.1
ssa,2082,2336187512.8
us,2083,321795673.6
oecd-ex-us,2083,558119703.6
china,2083,712735394.7
india,2083,1921758331.3
latam,2083,519159786.9
seasia,2083,601840857.0
russia,2083,238768982.3
mena,2083,657247987.1
ssa,2083,2337543694.2
us,2084,320538210.3
oecd-ex-us,2084,552933731.8
china,2084,698845193.5
india,2084,1907191949.9
latam,2084,513470608.6
seasia,2084,595945940.6
russia,2084,237133790.0
mena,2084,653581119.5
ssa,2084,2338350446.1
us,2085,319266214.7
oecd-ex-us,2085,547770176.7
china,2085,685104609.5
india,2085,1892436568.5
latam,2085,507761652.9
seasia,2085,590026394.8
russia,2085,235494151.4
mena,2085,649832809.0
ssa,2085,2338618312.1
us,2086,317980382.2
oecd-ex-us,2086,542629777.8
china,2086,671516948.0
india,2086,1877506181.1
latam,2086,502036851.3
seasia,2086,584086097.5
russia,2086,233850500.0
mena,2086,646006506.3
ssa,2086,2338358146.5
us,2087,316681434.6
oecd-ex-us,2087,537513270.0
china,2087,658085342.3
india,2087,1862414560.3
latam,2087,496300063.7
seasia,2087,578128867.6
russia,2087,232203262.0
mena,2087,642105611.3
ssa,2087,2337581077.9
us,2088,315370117.3
oecd-ex-us,2088,532421388.5
china,2088,644812764.5
india,2088,1847175239.8
latam,2088,490555076.0
seasia,2088,572158463.1
russia,2088,230552860.2
mena,2088,638133477.8
ssa,2088,2336298474.7
us,2089,314047196.5
oecd-ex-us,2089,527354872.5
china,2089,631702033.2
india,2089,1831801496.5
latam,2089,484805596.4
seasia,2089,566178576.6
russia,2089,228899718.0
mena,2089,634093417.0
ssa,2089,2334521910.7
us,2090,312713455.8
oecd-ex-us,2090,522314467.8
china,2090,618755819.6
india,2090,1816306334.1
latam,2090,479055251.9
seasia,2090,560192832.4
russia,2090,227244262.1
mena,2090,629988700.9
ssa,2090,2332263131.1
us,2091,311369693.0
oecd-ex-us,2091,517300928.5
china,2091,605976651.3
india,2091,1800702467.8
latam,2091,473307584.7
seasia,2091,554204781.4
russia,2091,225586924.9
mena,2091,625822564.5
ssa,2091,2329534021.2
us,2092,310016716.8
oecd-ex-us,2092,512315017.5
china,2092,593366914.4
india,2092,1785002309.9
latam,2092,467566048.5
seasia,2092,548217897.1
russia,2092,223928146.4
mena,2092,621598207.9
ssa,2092,2326346574.4
us,2093,308655343.2
oecd-ex-us,2093,507357505.9
china,2093,580928853.7
india,2093,1769217956.2
latam,2093,461834004.4
seasia,2093,542235570.5
russia,2093,222268375.1
mena,2093,617318797.6
ssa,2093,2322712863.8
us,2094,307286392.3
oecd-ex-us,2094,502429172.6
china,2094,568664571.4
india,2094,1753361174.3
latam,2094,456114717.4
seasia,2094,536261105.7
russia,2094,220608068.6
mena,2094,612987467.3
ssa,2094,2318645014.2
us,2095,305910684.6
oecd-ex-us,2095,497530801.8
china,2095,556576024.8
india,2095,1737443392.6
latam,2095,450411352.6
seasia,2095,530297714.4
russia,2095,218947693.6
mena,2095,608607317.5
ssa,2095,2314155176.3
us,2096,304529037.8
oecd-ex-us,2096,492663181.3
china,2096,544665023.1
india,2096,1721475690.3
latam,2096,444726971.2
seasia,2096,524348511.6
russia,2096,217287725.5
mena,2096,604181415.5
ssa,2096,2309255502.3
us,2097,303142263.5
oecd-ex-us,2097,487827099.1
china,2097,532933223.3
india,2097,1705468790.2
latam,2097,439064527.3
seasia,2097,518416511.1
russia,2097,215628647.1
mena,2097,599712794.1
ssa,2097,2303958124.4
us,2098,301751163.9
oecd-ex-us,2098,483023340.8
china,2098,521382125.3
india,2098,1689433050.7
latam,2098,433426864.3
seasia,2098,512504620.6
russia,2098,213970947.9
mena,2098,595204450.3
ssa,2098,2298275133.6
us,2099,300356528.8
oecd-ex-us,2099,478252685.6
china,2099,510013067.9
india,2099,1673378461.0
latam,2099,427816712.2
seasia,2099,506615638.1
russia,2099,212315122.1
mena,2099,590659343.3
ssa,2099,2292218561.6
us,2100,298959133.0
oecd-ex-us,2100,473515903.3
china,2100,498827223.1
india,2100,1657314636.7
latam,2100,422236684.3
seasia,2100,500752248.1
russia,2100,210661667.1
mena,2100,586080392.7
ssa,2100,2285800363.4
