region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
india,2030,18127509621456.914,812569440.6706854,0.0,1853533684669.2004,947742480498.1776,254660472681.6543,0.0,41513989879.382,9473143016.780872,1202402953179.832,0.0,9959.777508732528,651130731489.3684,609616741609.9865
latam,2030,13811689196549.027,312799955.1427212,0.0,950911364031.2926,695043914541.2715,106147668677.15987,0.0,17337609295.923386,193374093026.2746,801191583218.4314,0.0,17030.323695723804,149719780812.8612,132382171516.93782
seasia,2030,14124996327084.666,352185041.93628347,0.0,1036078370052.259,698226148193.4215,104701001496.24081,0.0,3414017333.0728993,184982982984.14197,802927149689.6624,0.0,15427.68486150673,233151220362.59668,229737203029.52377
russia,2030,11906827660451.771,145577058.72535425,972241.6782324542,640366400385.6783,584509866701.0115,70903717618.7623,25044534344.655342,0.0,172658639034.8313,651136111146.1963,4277473173.5776095,23716.746981368073,-10769710760.517944,9997350410.559788
mena,2030,15331651280878.74,243805653.31474546,404195.2345990645,1628384399447.7568,802433423151.923,236269380488.28973,0.0,16112182300.357452,4553742343.135676,1035835590087.8912,2867213552.321133,23932.10930710392,592548809359.8656,573569413507.187
ssa,2030,6290448798889.317,557830141.2240518,0.0,799271205242.1667,257583732609.72946,38848646574.74275,0.0,8771478759.948317,4450053704.736633,296432379184.4722,0.0,4644.205249223411,502838826057.6945,494067347297.7462
us,2031,43116554889722.695,171891756.55106536,5640791.760934183,1887608517512.7397,2140057886644.6055,248112733288.92032,399867227605.90735,0.0,687180822533.0449,2309208431138.3374,78962188795.18817,66841.54316421963,-421599913625.59766,-100694874814.87848
oecd-ex-us,2031,55373038965410.4,383223143.7930045,7412558.007282005,2179979183582.0564,2817946670413.4883,306504678202.8956,322774956198.5205,0.0,943179697416.1912,3056710095642.4653,67741252973.91787,46202.73363074432,-876730912060.4089,-621697208835.8063
china,2031,54473763677216.77,741542873.8626046,0.0,2183185167964.597,2800076057299.9585,296294919540.6823,0.0,18176780878.28056,21602955697.724697,3096370976840.6406,0.0,27977.989736417916,-913185808876.0437,-931362589754.3242
india,2031,18701614603019.637,819713433.1027505,0.0,1836538935794.48,964983940367.8331,264762199017.8504,0.0,41497785777.84246,8809970931.776646,1229746139385.6836,0.0,10401.817343343451,606792796408.7964,565295010630.954
latam,2031,13930225846590.021,312854124.4686533,0.0,934598077855.8599,697437993028.158,106840717530.53699,0.0,16962430766.41821,5179713510.242888,804278710558.695,0.0,17643.627903711116,130319367297.16492,113356936530.7467
seasia,2031,14336292802370.592,353113781.3179586,0.0,1018663887360.827,703716021282.5311,105815729877.0661,0.0,3755448291.532692,5919787376.223896,809531751159.5972,0.0,16006.98649853841,209132136201.22986,205376687909.69717
russia,2031,11908538110073.82,145695400.7844581,1130876.4403066088,630361448838.52,584776700399.6556,70980290750.59659,21929484736.20341,0.0,5176507197.574537,650481752400.9496,5275238749.302658,24449.08579715517,-20120303562.429565,-3466057575.5288124
mena,2031,15869263438748.021,246572763.92365572,396173.14328616235,1616061167608.3926,819867246162.5106,246124693706.3912,0.0,17030065747.787104,4572995877.570481,1063195860880.4,2796078988.5019007,24667.753166027112,552865306727.9926,533039161991.70355
ssa,2031,6784203174518.498,580118738.5945679,0.0,810610044738.8975,271573827262.66013,41459083265.54369,0.0,8175512973.331509,4352754391.817764,313032910528.2038,0.0,4906.152742525057,497577134210.69366,489401621237.3622
us,2032,43008943481154.836,172062929.91921562,6581196.280842045,1864113621136.0356,2140216293927.638,247094893888.1778,403517384207.87604,0.0,12068773904.018856,2294037411893.333,93273775922.48248,67858.00578844365,-429923790757.29736,-119680182471.90381
oecd-ex-us,2032,54738780003870.39,380870004.34571177,8550942.835606849,2133590266768.3008,2800862210206.0576,301924300096.23895,322736776705.4712,0.0,12200505288.498142,3023846308002.0806,78940202300.2152,47165.883974343735,-890256041233.7798,-646459466828.5238
china,2032,53482648412993.49,732723347.3102483,0.0,2065446385987.1753,2770017801551.3726,289894924772.9946,0.0,17603055943.956985,20954132057.871513,3059912726324.367,0.0,28776.937962116455,-994466340337.1919,-1012069396281.1489
india,2032,19232044894609.06,826338919.2649544,0.0,1819200755692.712,981448740600.7747,273933542174.60098,0.0,42335277675.47266,8947096347.559748,1255382282775.3757,0.0,10858.826810265658,563818472917.3362,521483195241.8635
latam,2032,14029729777038.027,312742178.7282213,0.0,917994935995.4098,699435025052.8607,107356533738.55458,0.0,16666114835.736118,4966668079.746485,806791558791.4153,0.0,18273.401366102265,111203377203.9945,94537262368.25839
seasia,2032,14522418443391.895,353827283.38584036,0.0,999433243845.6493,708709221637.0956,106751734666.66377,0.0,3773205164.4554367,5926558643.870913,815460956303.7594,0.0,16602.567574975026,183972287541.8899,180199082377.43445
russia,2032,11903102660606.154,145771527.16972598,1318888.7448440369,619070738956.1033,584677980850.7494,70890366482.9473,25887684332.942318,0.0,5174474576.980802,649515830147.2524,6052517186.444334,25198.170303876817,-30445091191.14917,-10609924044.651186
mena,2032,16365184887225.014,249174194.4614281,392235.7890137927,1601927063762.0005,836578585048.3379,254853075288.47903,0.0,19030148526.16955,4456193577.97871,1089061274816.2778,2370385520.5392556,25420.141972649904,512865788945.72266,491465254899.01385
ssa,2032,7271260240765.402,602575724.6019938,0.0,821611590413.5635,285797235111.17053,44060427872.60689,0.0,9122966543.462912,4426105360.583193,329857662983.7774,0.0,5179.767549924288,491753927429.7861,482630960886.3232
us,2033,42881329705380.38,172184467.95959496,7522467.93853594,1841489415116.9321,2139942327137.4512,246056637777.85315,404995571098.8266,0.0,11900202925.130629,2278217079476.759,107781885438.54546,68889.71503944589,-436727664359.82666,-139513978699.54553
oecd-ex-us,2033,54077874768837.3,378357450.3197935,9673663.343083126,2088256523851.1072,2782768013602.378,297303635073.24634,319096276235.42883,0.0,11813613555.99826,2989855575304.435,90216073371.18881,48144.96450873834,-901599051453.3279,-672718848589.0879
china,2033,52409796483502.08,723297964.7416354,0.0,1944923201251.4167,2737277935726.6743,283137064945.4653,0.0,17655217283.672955,20295087212.96737,3020415000672.1396,0.0,29592.811247434103,-1075491799420.7229,-1093147016704.3959
india,2033,19721763696300.574,843309144.6227541,0.0,1801868793872.3167,997108871819.474,282215833049.7415,0.0,41405949546.59768,8580662235.012472,1279324704869.2156,0.0,11331.136601512213,522544089003.1011,481138139456.5034
latam,2033,14110851709609.637,312466572.67143697,0.0,901208816000.5286,701023882776.9824,107696334073.08931,0.0,16287162129.171883,4920495550.322042,808720216850.0718,0.0,18919.925184693802,92488599150.45679,76201437021.28491
seasia,2033,14683554951600.256,354318916.4148584,0.0,980009534323.533,713174481676.9886,107501089171.32823,0.0,4250561978.4244003,6053106711.561052,820675570848.3169,0.0,17214.719077399044,159333963475.21606,155083401496.79166
russia,2033,11885650913476.787,145769328.88014534,1504478.2852830556,606929972908.1287,584435806348.1744,70766011507.86987,25648283635.7249,0.0,5171814182.831113,648201811278.5016,7000006577.542663,25964.250109372333,-41271838370.372925,-22623561312.19069
mena,2033,16819838808682.334,251609400.35270226,390292.41200341843,1585998194441.233,852496464952.6042,262993462622.69962,0.0,20193912771.141396,4339567362.53457,1113325734290.7222,2164193284.5816493,26189.52456350803,472672460150.51074,450314354094.78766
ssa,2033,7751530524731.844,625206100.31962,0.0,832275839748.453,300184620755.3494,46639849017.80844,0.0,9606617306.974207,4425531298.122493,346824469773.15784,0.0,5465.412286013566,485451369975.29517,475844752668.321
us,2034,42739667012198.79,172271176.46334502,8483965.697725134,1816070905450.151,2139178329819.1296,244955359522.87152,414650348248.4624,0.0,11749742461.778513,2261784857931.7065,122348831410.29456,69936.8995746124,-445713952481.55566,-153412435643.38782
oecd-ex-us,2034,53391324164181.35,375689571.5816182,10790113.463977408,2040374805816.8413,2763567930419.6597,292677303906.8362,318227437834.78345,0.0,11092386018.962597,2954798243961.5425,101446990364.95424,49140.198980262394,-914423438144.7012,-697642990674.872
china,2034,51259605572226.78,713284696.3667156,0.0,1822543700643.7183,2701760934763.6704,275996746340.31104,0.0,15688600440.420076,20711669625.392296,2977757681103.9814,0.0,30425.850962392054,-1155213980460.2632,-1170902580900.6833
india,2034,20166566716929.453,848883057.588409,0.0,1783188957762.277,1012053500039.6273,289664816278.8753,0.0,45356707392.92869,8689086578.024315,1301718316318.5027,0.0,11819.080099483755,481470641443.7744,436113934050.8457
latam,2034,14172853438733.326,312020751.29281735,0.0,882823723773.8284,702207001253.6515,107869623742.88322,0.0,15535500169.801443,4790130516.195899,810076624996.5347,0.0,19583.48259699224,72747098777.2937,57211598607.492256
seasia,2034,14820576612673.082,354604294.4841153,0.0,960304512916.0272,717096837840.1432,108079783111.40831,0.0,3764503815.019379,5658272923.371881,825176620951.5515,0.0,17843.734132856633,135127891964.47571,131363388149.45633
russia,2034,11855353242057.182,145682734.08132687,1688257.7756402784,593537636094.4982,583879971643.6406,70577089942.84503,25499712925.983307,0.0,5122041146.400368,646518916819.7611,7938144766.724395,26747.577225625948,-52981280725.26294,-35419712566.00403
mena,2034,17231158281855.307,257150528.39203757,388246.03681806213,1567066437647.8284,867611163809.2109,270542470622.399,0.0,21895642143.52364,4302312100.272908,1136000462627.736,2153171803.8739986,26976.152191552625,431065975020.0923,407017161072.69464
ssa,2034,8224991994153.721,653333126.0617926,0.0,841857191003.3544,314743329363.71436,49200965540.18557,0.0,8843783397.376451,4392356719.798089,363944294903.8999,0.0,5763.4547487528625,477912896099.45447,469069112702.078
