region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
mena,2038,18986542938405.42,268063966.96711665,377908.1038034949,1583331000966.0952,934258309230.3948,303379198161.029,0.0,22592322153.508553,4145135862.0453506,1235505570206.4053,2131937185.018271,30300.225990167473,347825430759.68994,323101171421.16315
ssa,2038,10270830788089.068,754606338.6956897,0.0,908305938449.2311,376506891611.20935,61086532277.26849,0.0,9766219025.103903,57363926264.9843,437593423888.47784,0.0,7087.134797121599,470712514560.75323,460946295535.64935
us,2039,42697899364412.2,176836539.55245304,13186873.054004567,1862128112031.0771,2152529429141.3708,243890854662.65393,407481054719.1223,0.0,10312415031.417881,2199287405503.8813,197132878300.14352,75413.19755883177,-337159293472.8042,-126811117053.82541
oecd-ex-us,2039,50839102520570.53,370890129.05247843,16011056.718189325,2012174033853.086,2681062120336.2437,275232462097.8815,293351202644.59595,0.0,10337679010.481894,2800223588221.602,156070994212.52255,54366.75081942342,-788049554368.5161,-650769345936.4427
china,2039,46624300048216.72,674678429.4060639,0.0,1463565703625.5728,2514596362492.942,251135586207.96533,0.0,13672582204.528187,17656482164.931488,2765731948700.907,0.0,34857.18423294564,-1302166245075.3345,-1315838827279.8625
india,2039,22732401710741.344,883590426.6852876,0.0,1805782325578.4702,1090376927618.4958,333060467896.12866,0.0,45451100030.90441,8185053637.156071,1423437395514.6245,0.0,14505.157429905297,382344930063.8457,336893830032.9413
latam,2039,14839650152419.818,316645524.94225955,0.0,863544243916.6226,711051373174.2472,113136763239.55421,0.0,14417787556.557648,186771577120.1926,824188136413.8014,0.0,23166.841171932578,39356107502.82117,24938319946.26352
seasia,2039,15626689728447.037,363267609.663962,0.0,941006992422.63,740750711844.8152,113269619890.77168,0.0,4466167085.588211,5507949889.103347,854020331735.5869,0.0,21252.175630055888,86986660687.04309,82520493601.45488
russia,2039,11801756007193.93,148059891.57703087,2576238.918832546,577079687318.9954,582772231517.2323,69989561363.53366,24357681600.330593,0.0,4753142703.859771,640171636707.2246,12590156173.541044,30931.918550251008,-63091949388.22925,-51324423961.4397
mena,2039,19463474052458.047,270035341.15629363,374731.1642394668,1576816048551.488,943003461194.612,312633317060.2712,0.0,19916427289.194206,175668271045.2175,1253543398108.1836,2093380146.6996868,31176.93630317324,323272650443.30444,301262843007.4105
ssa,2039,10727962837199.082,779175469.9743601,0.0,918719410902.3438,392301580370.0224,63966868620.3247,0.0,9988557032.81536,4669644230.828367,456268448990.3471,0.0,7452.858722594691,462450961911.99664,452462404879.1813
us,2040,42577755846097.26,176916998.29044345,14103875.179793544,1858261004618.559,2152403250614.6187,245640385067.88852,408669198580.27026,0.0,10969914168.704144,2186335815177.6235,211707820504.88312,76558.2313567015,-328074810559.06445,-131113432483.6773
oecd-ex-us,2040,50199750313938.086,367926525.2301766,17016094.232301008,1990338738645.7969,2659854191278.192,277372272603.981,296800166427.07196,0.0,10735352176.837267,2770815579254.1562,166410884628.01672,55463.80043567204,-780476840608.3594,-650087558809.3042
china,2040,45309822959530.43,662664941.1839439,0.0,1404115418752.9353,2469500472517.1367,251171543787.12424,0.0,15159667752.183315,17239176617.222004,2720672016304.2607,0.0,35798.4451373568,-1316556597551.3254,-1331716265303.5088
india,2040,23040212243009.977,887721740.8846409,0.0,1794527930575.973,1103255158618.5508,345066514524.5705,0.0,46621117533.32887,8225392369.108433,1448321673143.1213,0.0,15094.052517035112,346206257432.85156,299585139899.5227
latam,2040,14855386254108.773,315788146.72903234,0.0,852025566797.333,711318429620.7396,115888507681.09856,0.0,13841600514.555696,4759072708.01254,827206937301.8381,0.0,23938.672627134798,24818629495.494873,10977028980.939177
seasia,2040,15698540017624.496,363061977.60233706,0.0,930744086804.6654,743468480287.707,116191808390.0608,0.0,4725268464.460131,5491759515.019807,859660288677.7678,0.0,21988.651291527007,71083798126.89758,66358529662.437454
russia,2040,11918960007721.863,147828293.8425031,2768867.068037824,571885505389.079,579792020099.1948,72123811965.29742,27734697141.978928,0.0,169499630061.3589,638610417659.4111,13305414405.080925,31824.163845901876,-66724912270.33215,-52295629533.43415
mena,2040,19739993754609.527,271823298.11886895,371280.4704646695,1571620698949.5435,955727066940.8232,323323033034.5441,0.0,20458069884.095043,4407173061.401602,1276974095202.3042,2076004773.063243,32072.453254497323,294646603747.23926,272112529090.081
