region,year,agefrom,ageto,lu,lp,ls,lh,cov_pop,source
mena,2010,25,34,15.508406484014746,26.83952564448383,40.18112095872991,17.4692990636199,77853.0,bl-v3
mena,2010,35,44,21.41150681518915,32.25127032990498,33.80601925335421,12.533566497028362,56198.0,bl-v3
mena,2010,45,54,33.25515238375227,29.399704787103726,26.78049169484051,10.563108432554264,40818.0,bl-v3
mena,2010,55,64,46.01127842630368,27.099851355172277,17.715685664660498,9.171123722583511,24757.0,bl-v3
mena,2015,15,24,7.827219476234787,18.35519958427496,56.83272879983565,17.035170338501697,82747.0,bl-v3
mena,2015,25,34,13.011658610864377,19.89979593249276,43.95842813801377,23.190394522823492,86687.0,bl-v3
mena,2015,35,44,15.85916721252903,30.448875424283926,33.814861251712024,19.913988715536238,67172.0,bl-v3
mena,2015,45,54,25.063875698026344,31.178613538514004,28.84538428748029,14.953015047529734,46918.0,bl-v3
mena,2015,55,64,37.06269474371531,31.021414952660795,19.53105452171074,12.425196865817826,30630.0,bl-v3
oecd-ex-us,1950,15,24,8.740388130209947,58.17365862887414,30.568599750037265,2.5136524371366655,87213.0,bl-v3
oecd-ex-us,1950,25,34,7.045114609378273,69.05250799681522,20.081350449078798,3.820714335600843,71591.0,bl-v3
oecd-ex-us,1950,35,44,9.077704053380582,72.52527188659393,15.326523201727671,3.0658657732986327,72236.0,bl-v3
oecd-ex-us,1950,45,54,10.903263495596951,73.6755630667496,12.87135774380463,2.52964841064589,61094.0,bl-v3
oecd-ex-us,1950,55,64,18.104474798087267,70.05191616903468,9.976924062507152,1.8773022627954337,43707.0,bl-v3
oecd-ex-us,1955,15,24,7.774405799059003,54.93308525247068,34.4215238288197,2.8684565858490356,88842.0,bl-v3
oecd-ex-us,1955,25,34,5.930895053178034,66.13248449224915,23.529752237331824,4.4034814449008115,83023.0,bl-v3
oecd-ex-us,1955,35,44,8.298465294312669,70.06466650592243,18.035605202085655,3.5876738298321227,66358.0,bl-v3
oecd-ex-us,1955,45,54,9.627922412235804,72.95993210694286,14.507399590534114,2.903030800264949,66428.0,bl-v3
oecd-ex-us,1955,55,64,12.746990370016016,73.15333118409285,11.773370286403628,2.3230408286362034,48079.0,bl-v3
oecd-ex-us,1960,15,24,6.391263236590453,51.26902375612315,39.08661388768007,3.2502430288220143,89619.0,bl-v3
oecd-ex-us,1960,25,34,6.156915823259302,60.39639021647454,28.25183265392184,5.1787652281885475,85368.0,bl-v3
oecd-ex-us,1960,35,44,7.759010612852867,67.77413829650106,20.330848168889013,4.144345683963277,69821.0,bl-v3
oecd-ex-us,1960,45,54,9.794895177742092,70.64546609372515,16.281747905725076,3.2905199878466953,69117.0,bl-v3
oecd-ex-us,1960,55,64,11.733470319634701,71.9964200913242,13.562167853881279,2.7050073059360735,54750.0,bl-v3
oecd-ex-us,1965,15,24,5.185553152262356,46.88183893128985,43.089133166476124,4.830938108333592,97089.0,bl-v3
oecd-ex-us,1965,25,34,4.822279393317369,57.96128794617403,31.064011403808863,6.155339491390124,87690.0,bl-v3
oecd-ex-us,1965,35,44,6.478574190785044,64.68254934834485,23.978311937832714,4.854027289971241,81715.0,bl-v3
oecd-ex-us,1965,45,54,9.097663583687954,68.27948761835968,18.846564703296018,3.7780505001334737,63683.0,bl-v3
oecd-ex-us,1965,55,64,10.852548306168902,70.90544252272011,15.170066789612719,3.0745807373440326,60189.0,bl-v3
oecd-ex-us,1970,15,24,4.599816594724221,38.796032517985616,48.81660757793764,7.78901160671463,104250.0,bl-v3
oecd-ex-us,1970,25,34,3.4606799220887416,50.74429345072563,36.93951035251467,8.834506918564722,88819.0,bl-v3
oecd-ex-us,1970,35,44,5.668204763260272,60.7911189391783,27.47368749406964,6.072090805579276,84312.0,bl-v3
oecd-ex-us,1970,45,54,7.5515701079040465,66.00992390238103,21.85467346392795,4.604739008947415,67282.0,bl-v3
oecd-ex-us,1970,55,64,9.965198678127134,69.39773581608172,17.065979409288058,3.552265296070923,62941.0,bl-v3
oecd-ex-us,1975,15,24,4.694493713515941,31.53878498727735,54.74635496183206,9.025486454123635,106896.0,bl-v3
oecd-ex-us,1975,25,34,2.538844376282357,40.47354168825516,43.38361723073097,13.607547304719075,96502.0,bl-v3
oecd-ex-us,1975,35,44,4.558851716125452,54.24680600672808,32.590039420598124,8.613784724229218,86503.0,bl-v3
oecd-ex-us,1975,45,54,6.700572577873391,62.05218427383938,25.098513563399827,6.154172511679418,78557.0,bl-v3
oecd-ex-us,1975,55,64,9.257921061702861,66.60192657704239,19.34113133402275,4.813877800758359,58020.0,bl-v3
oecd-ex-us,1980,15,24,4.748851164483261,24.54721561135371,61.082975709606984,9.619855895196507,109920.0,bl-v3
oecd-ex-us,1980,25,34,1.8820943517391426,32.751707034207776,48.78614685669921,16.56262352275886,104333.0,bl-v3
oecd-ex-us,1980,35,44,3.083603773584905,45.40647010684247,39.69545908160946,11.803908842918844,87980.0,bl-v3
oecd-ex-us,1980,45,54,6.064870904831409,56.90665898024016,29.262138748175502,7.749686614578862,81529.0,bl-v3
oecd-ex-us,1980,55,64,8.16573049141121,62.94273710065768,22.788539178772847,6.093337750270671,61883.0,bl-v3
oecd-ex-us,1985,15,24,3.9052216788406002,20.926164361516662,64.17577241151174,10.993697240078317,111851.0,bl-v3
oecd-ex-us,1985,25,34,2.130949664207653,25.194436992887432,55.223435094314674,17.44922479668269,105869.0,bl-v3
oecd-ex-us,1985,35,44,2.6929044417917942,36.658116793365586,45.47210906577873,15.172230529203578,95502.0,bl-v3
oecd-ex-us,1985,45,54,5.69973241507945,49.04520499300549,35.08885505218982,10.167798462403006,83637.0,bl-v3
oecd-ex-us,1985,55,64,9.508107895499526,57.37511461654177,25.924056914945,7.177889151106141,72459.0,bl-v3
oecd-ex-us,1990,15,24,2.776096656302842,18.52251350024546,65.62297269041255,13.090516827578684,109998.0,bl-v3
oecd-ex-us,1990,25,34,1.991771425453156,16.677834671808355,60.24930441742231,21.088902056370568,109951.0,bl-v3
oecd-ex-us,1990,35,44,1.985986336794164,27.59306447566483,51.717905168088315,18.684115654791775,103636.0,bl-v3
oecd-ex-us,1990,45,54,4.762612328735149,40.59106400112038,41.74656735055902,12.887143524029597,85686.0,bl-v3
oecd-ex-us,1990,55,64,9.46994448766466,50.47298250240642,31.472433312675538,8.575690871451362,75839.0,bl-v3
oecd-ex-us,1995,15,24,2.52051296857251,15.439964312760312,63.59064293828096,18.45346630064369,105640.0,bl-v3
oecd-ex-us,1995,25,34,1.4886589912183141,12.859349336702465,60.742479424875214,24.923332947781446,112393.0,bl-v3
oecd-ex-us,1995,35,44,2.1600688663823067,18.425872526729176,58.02168445479998,21.399056258103315,106438.0,bl-v3
oecd-ex-us,1995,45,54,3.219776420385013,29.560470996371226,50.47288908280215,16.743557480499305,93971.0,bl-v3
oecd-ex-us,1995,55,64,7.313803161652218,41.569041305456395,40.29150981642019,10.827412162162162,78440.0,bl-v3
