region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
ssa,2074,20526819064580.656,1474053753.1732812,0.0,1045154813040.5166,914103844211.2544,124387461747.38951,0.0,13310070184.404762,11193882867.444494,1038491305958.6439,0.0,32634.869861233794,6663507081.872681,-6646563102.532082
us,2075,45186357544665.68,157212242.56787738,34390445.27665349,1673137990855.7578,2226494504261.6934,253517660291.72293,602810241270.4204,0.0,725767957084.6642,1921225421327.8599,558786743225.5574,129545.03710027701,-248087430472.10205,-204063932427.239
oecd-ex-us,2075,40681923995358.64,236752504.33715495,35633291.66497981,1512063395285.886,2052089608106.0972,218088965841.09326,364101007793.83514,0.0,6373179131.087825,1896322191953.583,373856381993.60736,107137.6745688923,-384258796667.697,-394014170867.46924
china,2075,17226337250652.54,228820589.87124032,0.0,478688278599.72577,975555691282.2793,101434795925.55783,0.0,8864221074.149841,5192944352.23129,1076990487207.8372,0.0,82776.51452723765,-598302208608.1113,-607166429682.2612
india,2075,23285983175847.05,846026149.8219423,0.0,1254541020702.7808,1228490189124.9988,276005600287.8813,0.0,41940180010.5441,7615156246.804491,1504495789412.8801,0.0,49764.5486185481,-249954768710.09937,-291894948720.64343
latam,2075,11703849648853.262,229438589.08878514,0.0,490727350557.8933,608178692670.8704,83986754562.01903,0.0,11279311129.562706,3293858292.7268906,692165447232.8894,0.0,65303.260458509474,-201438096674.9961,-212717407804.5588
seasia,2075,13782239909083.086,290721546.89395684,0.0,580279085459.9686,708897376060.0482,97594385711.17847,0.0,4982302806.0902405,5479423635.250564,806491761771.2267,0.0,62114.39367371054,-226212676311.25806,-231194979117.3483
russia,2075,11426871333141.256,123485250.71203575,6694686.51262005,469329087895.24677,555614262379.5105,66524530925.89235,34432733494.270355,0.0,3845301253.0471625,587156051969.7424,34982741335.660255,77231.49221938399,-117826964074.49567,-118376971915.88556
mena,2075,21589466850473.613,284473516.2561251,0.0,1261268786766.4731,1171020772546.3027,298604835852.8621,0.0,23092062632.293793,4996855028.683875,1469625608399.1648,0.0,77585.95425130561,-208356821632.69165,-231448884264.98544
ssa,2075,20523362244544.383,1488572032.8567233,0.0,1039144445277.9856,916116625975.8351,124247668049.42445,0.0,13629338219.593637,11392366930.59687,1040364294025.2595,0.0,33812.5228372265,-1219848747.2739258,-14849186966.867563
us,2076,44979471175210.67,156007829.69350964,34480653.142577015,1664270614102.5403,2216086254630.2017,252130828237.67642,588853549103.6696,0.0,8206550206.649431,1907366478926.1814,560850603941.6959,131502.00590686913,-243095864823.6411,-215092919661.66748
oecd-ex-us,2076,40297254828798.52,233301722.68165246,35562671.10850807,1495763418837.249,2030992816495.7808,215722825651.70593,360170869974.82556,0.0,6112186775.304389,1873597860192.9631,373117781954.5234,109066.40340879868,-377834441355.7141,-390781353335.4119
china,2076,16651895845043.717,224864568.44293532,0.0,463630166859.16876,937192722401.5107,97817241869.69298,0.0,7592781741.24412,4531173544.454104,1035009964271.2037,0.0,84593.39171732057,-571379797412.0349,-578972579153.279
india,2076,23003052671387.785,847303794.7933003,0.0,1235906271632.005,1214561916394.7993,271876720939.8709,0.0,40144766555.63481,7746627799.030717,1486438637334.6702,0.0,51246.49623628344,-250532365702.66528,-290677132258.3001
latam,2076,11497557591214.242,229672956.18021742,0.0,481085760044.8138,597383052469.044,82364289697.54265,0.0,10794936525.055416,3164461007.8079524,679747342166.5865,0.0,66974.38768843569,-198661582121.77277,-209456518646.8282
seasia,2076,13561105077933.762,285585236.8045894,0.0,570537286366.3057,697552082858.9751,95862795268.15572,0.0,3649192764.0803194,5391953375.576097,793414878127.1309,0.0,63751.77425466119,-222877591760.8252,-226526784524.90552
russia,2076,11315876822800.53,124315186.1294488,6823397.49208721,464302416445.2645,550047747639.3927,65794162603.45902,36709716288.91798,0.0,3835267167.9379663,580890873523.4062,34951036719.44514,79008.79153937967,-116588457078.14172,-114829777508.66888
mena,2076,21363262325300.938,281570303.63812596,0.0,1245930904450.721,1160385882734.3093,294856986825.49884,0.0,21655417412.553898,4762857348.968107,1455242869559.808,0.0,79365.95911008262,-209311965109.08716,-230967382521.64105
